"","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1",0.706,0.0032,0.147,0.0299,0.025,7e-04,0.0104,0.0134,0.0458,0.0301,0.0016,2.01981400053128e-06,4e-05,0.00032,0.00296,1.9e-05,2e-06,2.40459424493807e-05,4.25823384985861e-06,0.000417,0.00165,6.5e-05,0.00031,3.31e-05,0.00017,2.7e-05,1.4e-05,8.3e-06,0.0042,0.000189,3.2e-05,2.14202297577599e-05,2.5e-05,2.6e-07,4.9e-06,0.000218,0.000511,2e-06,3e-06,0.000127,0.000164,0.00017,1e-04,4.7e-05,0.0016,9e-04,6e-06,6e-05,6.13e-05,4.1e-05,4.25355780894433e-05,0.00097,1.1e-05,4.9e-06,7.42e-05,8e-06,2.1e-06,3.07e-05,0.00034,1.9e-05,0.000164962955536486,1.3e-05,0.00041,0.00152
"2",0.6953,0.003,0.1459,0.0294,0.0253731279264488,0.00081,0.0105,0.0132,0.0452,0.0291,0.00158,2.01981400053128e-06,4e-05,0.000234506504794098,0.00295,1.53032879981617e-05,2e-05,2.40459424493807e-05,2e-05,0.00038,0.00223123598468877,6e-05,0.00024,4.06779683892934e-05,4e-05,2.64207873147345e-05,1.50233130767919e-05,7.37419238452415e-06,0.00495179750378303,2e-04,3.64525504759557e-05,1e-05,3.65159707629929e-05,3.3141185366294e-07,5.4579124061435e-06,0.00022,0.000511655535422664,2.14411393445741e-06,2e-05,0.00014,0.000161032028990565,0.00015,0.00016,4.56245340331142e-05,0.00148,5e-04,7.7594533604209e-06,6.23775998473157e-05,3.85497879214226e-06,3.48085293386087e-05,1e-05,0.00089,1.57383817817424e-05,4.91715963316719e-06,7e-05,7.50233335309583e-06,2.0593979538368e-06,1e-05,0.00028,2.90179979551658e-05,0.00016,1.46019066894046e-05,0.00067,0.00123
"3",0.698,0.0032,0.149,0.0312,0.0253731279264488,6e-04,0.0099,0.0124,0.0452,0.0306,0.0016,2.06e-05,0.000202,0.000105,0.00369,1.3e-05,0.00012,2.40459424493807e-05,7e-07,0.000416009138922607,0.00223123598468877,2.8e-05,0.000539,4.06779683892934e-05,0.000136,2.64207873147345e-05,1.50233130767919e-05,7.37419238452415e-06,0.00495179750378303,0.000168897309980269,3.64525504759557e-05,5.2e-05,3.65159707629929e-05,3.3141185366294e-07,5.4579124061435e-06,0.000230762060908882,0.000613,2.14411393445741e-06,1.34e-05,0.000173,0.000161032028990565,0.000111,0.000301,4.56245340331142e-05,0.00149780724938274,0,8e-06,6.23775998473157e-05,1.05e-05,3.48085293386087e-05,2.8e-05,0.000895,1.57383817817424e-05,4.91715963316719e-06,7.71277683541254e-05,7.50233335309583e-06,2.0593979538368e-06,1.4e-05,0.000425,1.9e-05,0.000226,1.46019066894046e-05,0.000528,0.00226
"4",0.69708,0.00319,0.14446,0.03062,0.0253731279264488,0.00078,0.01042,0.0136,0.04618,0.02958,0.00168,2.01981400053128e-06,3.6e-05,0.000234506504794098,0.003517,1.53032879981617e-05,9.77259925281103e-06,2.40459424493807e-05,4.25823384985861e-06,0.000416009138922607,0.00223123598468877,5.6e-05,0.000386,4.06779683892934e-05,0.000142,2.64207873147345e-05,1.50233130767919e-05,7.37419238452415e-06,0.00495179750378303,0.000163,3.64525504759557e-05,2.14202297577599e-05,3.65159707629929e-05,3.3141185366294e-07,5.4579124061435e-06,0.000230762060908882,0.000511655535422664,2.14411393445741e-06,1.07326346744543e-05,0.000107,0.000161032028990565,0.000159,8.6e-05,4.56245340331142e-05,0.001505,0.00024,7.7594533604209e-06,4e-05,3.85497879214226e-06,3.48085293386087e-05,4.25355780894433e-05,0.000882,1.57383817817424e-05,4.91715963316719e-06,6.5e-05,7.50233335309583e-06,2.0593979538368e-06,3e-05,0.000332,2.90179979551658e-05,0.000161,1.46019066894046e-05,0.000388,0.001346
"5",0.7015,0.0031,0.146,0.0303,0.0253731279264488,7e-04,0.0102,0.0133,0.046,0.03,0.0017,2.01981400053128e-06,3.02442282479326e-05,0.000234506504794098,0.00355980768125291,1.4e-05,9.77259925281103e-06,2.40459424493807e-05,4.25823384985861e-06,0.000447,0.00223123598468877,6.67929492332913e-05,0.000364109943687264,4.06779683892934e-05,0.000151796048690885,2.89e-05,1.57e-05,7.5e-06,0.00495179750378303,0.000168897309980269,3.32e-05,2.14202297577599e-05,3.1e-05,3.3141185366294e-07,5.7e-06,0.000225,0.000511655535422664,2.3e-06,1.07326346744543e-05,0.000124577976783912,0.000174,0.000161491512128555,9.52802675141041e-05,4.81e-05,0.00148,0,7.7594533604209e-06,6.3e-05,3.85497879214226e-06,3.66e-05,4.25355780894433e-05,0.000907740624985899,1.57383817817424e-05,4.91715963316719e-06,7.71277683541254e-05,7.50233335309583e-06,2.0593979538368e-06,0,0.000369649294327353,2.90179979551658e-05,0.000152,1.51e-05,0.000406664083609514,0.00107
"6",0.7004,0.0029,0.1467,0.0303,0.0253731279264488,7e-04,0.01,0.0135,0.0435,0.0291,0.0016,2.01981400053128e-06,3e-05,0.000234506504794098,0.00348,1.53032879981617e-05,9.77259925281103e-06,2.40459424493807e-05,4.25823384985861e-06,0.00057,0.00223123598468877,8e-05,0.00039,2e-04,0.00019,2.64207873147345e-05,1.50233130767919e-05,7.37419238452415e-06,0.00495179750378303,0.00017,3.64525504759557e-05,2.14202297577599e-05,3.65159707629929e-05,3.3141185366294e-07,5.4579124061435e-06,0.00034,0.000511655535422664,2.14411393445741e-06,1.07326346744543e-05,0.00014,0.00022,0.00011,0.00017,4.56245340331142e-05,0.00156,0,7.7594533604209e-06,6.23775998473157e-05,3.85497879214226e-06,3.48085293386087e-05,4.25355780894433e-05,0.00094,8e-05,4.91715963316719e-06,0.00017,7.50233335309583e-06,2.0593979538368e-06,9e-05,0.00045,0.00032,0.00019,1.46019066894046e-05,0.00044,0.00127
"7",0.6972,0.003,0.1432,0.0319,0.0253731279264488,6e-04,0.0102,0.0136,0.0453,0.0283,0.0015,2.01981400053128e-06,2.34e-05,0.000234506504794098,0.00352,1.27e-05,1.9e-06,2.40459424493807e-05,5e-07,0.000429,0.00223123598468877,5.47e-05,0.000338,2.58e-05,0.000155,2.441e-05,1.45e-05,7.2e-06,0.00495179750378303,0.000181,2.9e-05,1.89e-05,3.27e-05,3.3141185366294e-07,5.04e-06,0.0002234,0.000511655535422664,2.47e-06,3.4e-06,0.0001075,0.0001631,0.000176,7.84e-05,4.44e-05,0.001475,0,6.4e-06,4.6e-05,3.85497879214226e-06,3.5e-05,4.49e-05,0.000905,1.44e-05,4.9e-06,6.95e-05,7.50233335309583e-06,2.15e-06,2.92e-05,0.000347,1.86e-05,0.000152,1.438e-05,0.000341,0.00131
"8",0.6546,0.0035,0.153,0.0279,0.0253731279264488,7e-04,0.0089,0.0114,0.047,0.0299,0.00161403222025157,2.01981400053128e-06,2.95e-05,0.000234506504794098,0.00361,1.53032879981617e-05,9.77259925281103e-06,1.18e-05,4.25823384985861e-06,0.000418,0.00342,5.85e-05,0.000322,2.76e-05,0.000151796048690885,2.99e-05,1.50233130767919e-05,7.4e-06,0.00495179750378303,0.000168897309980269,3.64525504759557e-05,2.14202297577599e-05,3.61e-05,3.3141185366294e-07,5.4579124061435e-06,0.000213,0.000511655535422664,2.1e-06,1.07326346744543e-05,0.000124577976783912,0.000163,0.000161491512128555,9.52802675141041e-05,4.56245340331142e-05,0.0015,0,6.9e-06,6.13e-05,3.85497879214226e-06,3.57e-05,4.25355780894433e-05,0.00106,1.36e-05,4.6e-06,6.93e-05,7.50233335309583e-06,2.0593979538368e-06,2.72e-05,0.000349,2.07e-05,0.000164962955536486,1.39e-05,0.000406664083609514,0.00151
"9",0.697355525263797,0.0032,0.1444,0.032,0.0246,7e-04,0.0108,0.0134,0.0459,0.0298,0.0017,2.01981400053128e-06,3.02442282479326e-05,0.000234506504794098,0.00363,1.53032879981617e-05,9.77259925281103e-06,2.40459424493807e-05,4.25823384985861e-06,0.000416,0.00223123598468877,6e-05,0.00041,4.06779683892934e-05,0.00016,2.9e-05,1.50233130767919e-05,7.6e-06,0.00495179750378303,0.000168897309980269,3.63e-05,2.14202297577599e-05,3.65159707629929e-05,3.3141185366294e-07,6e-06,0.000219,0.000511655535422664,2.4e-06,1.07326346744543e-05,0.00013,0.000169,0.000161491512128555,9.52802675141041e-05,4.56245340331142e-05,0.00142,0,7.7594533604209e-06,6.23775998473157e-05,3.85497879214226e-06,3.41e-05,4.25355780894433e-05,0.00093,1.57383817817424e-05,4.91715963316719e-06,7.71277683541254e-05,7.50233335309583e-06,2.0593979538368e-06,0,0.00039,2.90179979551658e-05,0.00018,1.55e-05,0.00037,0.00139
"10",0.7072,0.0032,0.1471,0.0307,0.0253731279264488,7e-04,0.0094,0.0139,0.0433,0.03,0.0015,2.01981400053128e-06,3e-05,0.000234506504794098,0.00353,1.53032879981617e-05,9.77259925281103e-06,2.40459424493807e-05,4.25823384985861e-06,0.000416009138922607,0.00223123598468877,6.67929492332913e-05,0.00036,4.06779683892934e-05,0.00019,2.64207873147345e-05,1.50233130767919e-05,7.37419238452415e-06,0.00495179750378303,0.00017,3.64525504759557e-05,2.14202297577599e-05,3.65159707629929e-05,3.3141185366294e-07,5.4579124061435e-06,0.000230762060908882,0.000511655535422664,2.14411393445741e-06,1.07326346744543e-05,0.00012,0.000161032028990565,0.00019,8e-05,4.56245340331142e-05,0.00154,0,7.7594533604209e-06,6.23775998473157e-05,3.85497879214226e-06,3.48085293386087e-05,4.25355780894433e-05,0.00087,1.57383817817424e-05,4.91715963316719e-06,0.00011,7.50233335309583e-06,2.0593979538368e-06,0,0.00037,2.90179979551658e-05,0.00021,1.46019066894046e-05,0.00032,0.00133
