"","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Ba","Be","Bi","Cd","Ce","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1",0.58266,0.00439,0.15081,0.08897,0.0496141545131825,0.00129,0.04678,0.0645,0.02313,0.00215,0.000453,6.08158250099154e-06,8.17327248389814e-05,0.001464,5.49071902153465e-06,2.90122037720674e-06,1.81684930056844e-06,0.000130313858196993,0.000241394819973172,0.000302,1.52780479619246e-06,0.000561,3.38346068146104e-05,2.36505487294475e-05,5.09457872967749e-06,0.00405457903534988,0.000134,2.72597109896994e-05,1.66186775093521e-05,1.58665417758614e-05,8.19409417135901e-06,5.7e-05,0.000204914223653457,4.11335344362184e-06,1.41337519664189e-05,2.7e-05,7.3512274766528e-05,0.000145,5.3e-05,1.65482933551368e-05,1.9e-05,0.000759934387466488,3.04805640460387e-06,0.000324,2.76595887353495e-05,2.09572745524416e-05,1.31041291806399e-05,0.001023,1.6074449232049e-06,4.90387120974824e-06,1.46381295050957e-05,2.00000006666668e-07,3.70222301825032e-06,4.8564925498419e-06,0.002219,1.0222241549637e-05,0.000224,2.49154346546557e-05,0.000758,0.000577
"2",0.58609,0.004392,0.15042,0.08912,0.0496141545131825,0.001283,0.0475,0.06533,0.02506,0.00207,0.000502,6.08158250099154e-06,8.17327248389814e-05,0.001331,5.49071902153465e-06,2.90122037720674e-06,1.81684930056844e-06,0.000130313858196993,0.000264,0.000294,1.52780479619246e-06,0.000539,3.38346068146104e-05,2.36505487294475e-05,5.09457872967749e-06,0.00405457903534988,0.000135,2.72597109896994e-05,1.66186775093521e-05,1.58665417758614e-05,8.19409417135901e-06,5.66586685943691e-05,0.000204914223653457,4.11335344362184e-06,1.41337519664189e-05,2.7e-05,7.3512274766528e-05,0.000148,2.6e-05,1.65482933551368e-05,1.4e-05,0.000527,3.04805640460387e-06,0.000297,2.76595887353495e-05,2.09572745524416e-05,1.31041291806399e-05,0.00102,1.6074449232049e-06,4.90387120974824e-06,3.1e-05,2.00000006666668e-07,3.70222301825032e-06,3e-06,0.002204,1.0222241549637e-05,0.000232,2.49154346546557e-05,0.000775,0.000553
"3",0.585,0.0046,0.1453,0.0986,0.0511,0.0014,0.0484,0.0572,0.0255,0.0021,3e-04,6.08158250099154e-06,8.17327248389814e-05,0.00123,5.49071902153465e-06,2.90122037720674e-06,1.81684930056844e-06,0.000123,0.00024,0.00023,1.3e-06,0.000607468874553122,3.5e-05,2.24e-05,5e-06,0.00405457903534988,0.000135651697319951,2.7e-05,1.66186775093521e-05,1.4e-05,7.9e-06,5.6e-05,0.000204914223653457,3.5e-06,7.4e-06,1.8e-05,7e-05,0.00015,3.6e-05,1.6e-05,1.9e-05,0.000759934387466488,3.04805640460387e-06,0.00033,2.76595887353495e-05,2.11e-05,1.31041291806399e-05,0.00106,1.3e-06,4.9e-06,1.56e-05,2.00000006666668e-07,3.5e-06,3.5e-06,0.00231,1.0222241549637e-05,0.000218,2.36e-05,0.00072971130797505,0.00042
"4",0.5743,0.0044,0.1523,0.0952,0.0496141545131825,0.0012,0.0484,0.0686,0.0222,0.0022,8e-04,1.7e-05,2e-04,0.001303,9e-06,5.3e-05,7e-06,0.000130313858196993,0.000225,0.000226,1.52780479619246e-06,0.000588,3.38346068146104e-05,2.36505487294475e-05,5.09457872967749e-06,0.00405457903534988,0.000135651697319951,2.72597109896994e-05,3.3e-05,1.58665417758614e-05,8.19409417135901e-06,5.66586685943691e-05,0.000229,4.11335344362184e-06,2.2e-05,0.000151,7.3512274766528e-05,5.9e-05,0.000104,1.65482933551368e-05,2.82517556562256e-05,0.000759934387466488,1e-06,0.000314321297848434,8.8e-05,2.09572745524416e-05,4.7e-05,0.000987,1.6074449232049e-06,4.90387120974824e-06,1.46381295050957e-05,2.00000006666668e-07,3.70222301825032e-06,8.4e-05,0.002563,7.6e-05,0.000257,2.49154346546557e-05,0.000831,0.00219
"5",0.5858,0.0044,0.1534,0.0887,0.0496141545131825,0.00136,0.0474,0.0654,0.0248,0.0021,0.00043,6.08158250099154e-06,8.17327248389814e-05,0.00096,5.49071902153465e-06,2.90122037720674e-06,1.81684930056844e-06,0.00016,2e-04,0.00116,1.52780479619246e-06,9e-04,3.38346068146104e-05,2.36505487294475e-05,5.09457872967749e-06,0.00405457903534988,0.00016,2.72597109896994e-05,1.66186775093521e-05,1.58665417758614e-05,8.19409417135901e-06,3e-05,0.000204914223653457,4.11335344362184e-06,1.41337519664189e-05,2.73309666524919e-05,7.3512274766528e-05,8e-05,0.00013,1.65482933551368e-05,2.82517556562256e-05,0.000759934387466488,3.04805640460387e-06,0.000314321297848434,2.76595887353495e-05,2.09572745524416e-05,1.31041291806399e-05,0.00106,1.6074449232049e-06,4.90387120974824e-06,1.46381295050957e-05,2.00000006666668e-07,3.70222301825032e-06,4.8564925498419e-06,0.00205,1.0222241549637e-05,0.00022,2.49154346546557e-05,0.00073,0.00051
"6",0.588,0.0039,0.1519,0.0878,0.0496141545131825,0.0012,0.0495,0.063,0.0276,0.0021,6e-04,6.08158250099154e-06,8.17327248389814e-05,0.00114,5.49071902153465e-06,2.90122037720674e-06,1.81684930056844e-06,0.000130313858196993,0.00029,0.00039,1.52780479619246e-06,0.00047,3.38346068146104e-05,2.36505487294475e-05,5.09457872967749e-06,0.00405457903534988,2e-04,2.72597109896994e-05,1.66186775093521e-05,1.58665417758614e-05,8.19409417135901e-06,5.66586685943691e-05,0.000204914223653457,4.11335344362184e-06,3.5e-05,2.73309666524919e-05,7.3512274766528e-05,0.00016,9e-05,1.65482933551368e-05,0.00011,0.000759934387466488,3.04805640460387e-06,0.00024,2.76595887353495e-05,2.09572745524416e-05,1.31041291806399e-05,0.00107,1.6074449232049e-06,4.90387120974824e-06,1.46381295050957e-05,2.00000006666668e-07,3.70222301825032e-06,4.8564925498419e-06,0.00226,1.0222241549637e-05,0.00026,2.49154346546557e-05,0.00089,0.00069
"7",0.5812,0.00434,0.1512,0.089,0.0496141545131825,0.00129,0.047,0.0648,0.0242,0.0021,5e-04,6.08158250099154e-06,0.000101,0.0013,5.49071902153465e-06,2.90122037720674e-06,1.81684930056844e-06,0.000127,0.000253,0.00023,1.4e-06,0.00057,3.38346068146104e-05,2.36505487294475e-05,4.8e-06,0.00405457903534988,0.00013,2.72597109896994e-05,1.66186775093521e-05,1.89e-05,8.19409417135901e-06,5.4e-05,0.000204914223653457,3.88e-06,1.41337519664189e-05,2.73309666524919e-05,7.3512274766528e-05,0.00015,5.22767240934477e-05,1.65482933551368e-05,2.82517556562256e-05,0.000759934387466488,2e-06,0.000337,2.76595887353495e-05,2.08e-05,1.31041291806399e-05,0.00102,1.6074449232049e-06,4.8e-06,1.6e-05,2.00000006666668e-07,3.70222301825032e-06,5e-06,0.00236,1.0222241549637e-05,0.00023,2.49e-05,0.00079,0.00055
"8",0.5845,0.0044,0.1499,0.0885,0.0496,0.0011,0.0469,0.0647,0.0243,0.0021,5e-04,6.08158250099154e-06,8.5e-05,0.00134,4e-06,4e-07,1e-06,0.000126,0.000241394819973172,0.00027,1e-06,6e-04,3.38e-05,2.4e-05,5.2e-06,0.00405457903534988,0.000139,2.73e-05,1.5e-05,1.5e-05,7.7e-06,5.59e-05,0.000195,3.7e-06,8e-06,1.8e-05,7e-05,0.000125,4e-05,1.59e-05,2e-05,7e-04,2e-06,0.000325,2.76595887353495e-05,2.07e-05,5e-06,0.00105,1.6074449232049e-06,4.8e-06,1.63e-05,2.00000006666668e-07,3.70222301825032e-06,3.8e-06,0.0023,1.0222241549637e-05,0.000222,2.46e-05,0.00081,0.00057
"9",0.5872,0.0044,0.15,0.0899,0.0506,0.0013,0.0478,0.0646,0.0249,0.0023,8e-04,6.08158250099154e-06,8.17327248389814e-05,0.00125,5.49071902153465e-06,2.90122037720674e-06,1.81684930056844e-06,0.0001155,0.00021,0.00033,1.52780479619246e-06,0.00069,3.65e-05,2.36505487294475e-05,5.4e-06,0.00405457903534988,0.000135651697319951,3.16e-05,1.66186775093521e-05,1.58665417758614e-05,9.7e-06,6.55e-05,0.000204914223653457,4.1e-06,1.41337519664189e-05,4e-05,7.81e-05,0.00015,5.22767240934477e-05,1.65482933551368e-05,2.82517556562256e-05,0.000759934387466488,3.04805640460387e-06,0.000314321297848434,2.76595887353495e-05,2.12e-05,1.31041291806399e-05,0.0011,1.6074449232049e-06,4.90387120974824e-06,1.46381295050957e-05,2.00000006666668e-07,3.70222301825032e-06,4.8564925498419e-06,0.00226,1.0222241549637e-05,0.00024,2.63e-05,0.00076,0.00053
"10",0.5879,0.0045,0.1566,0.0886,0.0496141545131825,0.0013,0.0484,0.065,0.0238,0.0021,5e-04,6.08158250099154e-06,7.7e-05,0.00142,5.49071902153465e-06,2.90122037720674e-06,1.81684930056844e-06,0.000116,0.000236,0.00034,1.52780479619246e-06,0.000606,3.38346068146104e-05,2.36505487294475e-05,5.09457872967749e-06,0.00405457903534988,0.000132,2.72597109896994e-05,1.66186775093521e-05,1.58665417758614e-05,8.19409417135901e-06,5.66586685943691e-05,0.000204914223653457,4.11335344362184e-06,1.5e-05,4.7e-05,7.3512274766528e-05,0.000167,5.9e-05,1.65482933551368e-05,6.2e-05,0.000759934387466488,3.04805640460387e-06,0.000314321297848434,2.76595887353495e-05,2.09572745524416e-05,8.2e-05,0.001024,1.6074449232049e-06,4.90387120974824e-06,7e-06,2.00000006666668e-07,3.70222301825032e-06,1.6e-05,0.00203,1.0222241549637e-05,0.000229,2.49154346546557e-05,0.000769,0.000553
