"","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Ba","Be","Bi","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1",0.5142,0.0204,0.1433,0.0967,0.063977136012247,0.0013,0.0628,0.0535,0.043,0.0377,0.0081,4.03224334654035e-06,2.61361191914624e-05,0.00732,2.86804391720434e-05,2.05196385496835e-06,3.24951255240534e-06,0.00101,0.00269,0.00029,0.00224,1.38681142376483e-05,4e-04,4.64749099944251e-05,1.92842799886469e-05,2.6055132337126e-05,0.00473,0.00021,7.41970544593581e-05,1.39770732240697e-05,6e-05,8.11450767830005e-06,7.36486117952334e-07,0.00056,0.000117487872856208,1.8550402644314e-06,5e-05,0.00048,0.00042,0.00151,1e-04,0.000117933329755945,0.00061,4e-04,3.83401707517704e-06,1e-04,9e-05,3e-05,0.00858,2e-05,9.35958924254023e-06,8e-05,1.51039800645396e-06,2.28536418282489e-06,3e-05,0.00096,1.67030647027719e-05,0.00019,1e-05,0.00108,0.00282
"2",0.5172,0.0208,0.1453,0.0994,0.063977136012247,0.0014,0.0641,0.0557,0.0439,0.0394,0.0086,4.03224334654035e-06,1.8e-05,0.00745,2.75e-05,2.05196385496835e-06,3.6e-06,0.000984,0.00183132544940375,0.000354,0.00238,1.12e-05,0.000318,4.46e-05,1.77e-05,2.66e-05,0.00478265153277162,0.000233,6.79e-05,1.28e-05,6.6e-05,7.37e-06,7e-07,0.000552,0.000117487872856208,1.92e-06,5.25e-05,0.000478,0.000454,0.00165,8.5e-05,0.000118,0.000621,0.00131138268515994,2.9e-06,9.48088214229874e-05,8.53e-05,2.41e-05,0.00915,3.35e-05,9.12e-06,6.66e-05,1.51039800645396e-06,2.22e-06,1.67e-05,0.00105,1.18e-05,0.000206,1.35e-05,0.00125,0.00292
"3",0.472,0.0192,0.136,0.0911,0.063977136012247,0.00117,0.0511,0.0587,0.0422,0.0371,0.00772,4.03224334654035e-06,1.32e-05,0.00723,2.73e-05,2.4e-07,1.8e-06,0.000951,0.00183132544940375,4e-04,0.0023,1.1e-05,0.00036,3.91e-05,1.62e-05,2.4e-05,0.00478265153277162,0.000244,7.23e-05,1.15e-05,5.04e-05,6.76e-06,7.36486117952334e-07,0.000512,0.000114,1.54e-06,6.01e-05,0.000569,0.000412,0.00162,3.12e-05,0.000107,0.000637,0.00554,3.83401707517704e-06,9.53e-05,7.72e-05,1.96e-05,0.00859,3.42e-05,8.66e-06,5.43e-05,8.6e-07,2.28536418282489e-06,1.26e-05,0.00105,1.99e-05,0.000222,1.08e-05,0.000928,0.00296
"4",0.462,0.0186,0.0745,0.0884,0.063977136012247,0.00126,0.0621027900438174,0.0497,0.0434015341842548,0.041,0.00840292520162587,4.03224334654035e-06,2.61361191914624e-05,0.00822,2.86804391720434e-05,2.05196385496835e-06,3e-05,0.00107,0.00183132544940375,0.000354209818126518,0.00288,1.38681142376483e-05,0.00096,4.64749099944251e-05,1.92842799886469e-05,2.6055132337126e-05,0.00478265153277162,0.00021,7.41970544593581e-05,1.39770732240697e-05,6.45641886657535e-05,8.11450767830005e-06,7.36486117952334e-07,0.00054,0.000117487872856208,1.8550402644314e-06,2e-05,0.00044,0.00044,0.00144,0.00018,9e-05,0.00059,0.00131138268515994,3.83401707517704e-06,9.48088214229874e-05,8.62524634905029e-05,2.77904819470821e-05,0.00871,2.97387752709449e-05,9.35958924254023e-06,4e-05,1.51039800645396e-06,2.28536418282489e-06,3e-05,0.0034,1.67030647027719e-05,0.00017,1.47539540256455e-05,0.0011,0.00267
"5",0.5184,0.0212,0.1454,0.0982,0.0607,0.00126,0.0638,0.0549,0.0443,0.0408,0.0085,4.03224334654035e-06,2.61361191914624e-05,0.00689,2.86804391720434e-05,3.7e-05,1e-06,0.00092,0.00183132544940375,0.00035,0.00213,1.38681142376483e-05,0.00034,4.64749099944251e-05,1.92842799886469e-05,2.6055132337126e-05,0.00478265153277162,2e-04,7.41970544593581e-05,1.39770732240697e-05,6.45641886657535e-05,8.11450767830005e-06,7.36486117952334e-07,0.00059,0.000117487872856208,1.8550402644314e-06,4.86781294971051e-05,0.00039,0.00029,0.00176,1e-04,0.000117933329755945,0.00059,0.00131138268515994,3.83401707517704e-06,9.48088214229874e-05,8.62524634905029e-05,2.77904819470821e-05,0.00906,2e-05,9.35958924254023e-06,7e-05,2e-05,2.28536418282489e-06,1.70860061370554e-05,0.00107,2e-05,0.000205505953263496,0.00018,0.00117,0.00267
"6",0.5169,0.0208,0.1451,0.0987,0.063977136012247,0.00138,0.0635,0.05475,0.0424,0.03945,0.00846,4.03224334654035e-06,2.61361191914624e-05,0.00791,2.86804391720434e-05,2.05196385496835e-06,3.24951255240534e-06,0.00098,0.00183132544940375,0.00037,0.00238,9e-05,0.00037,4.64749099944251e-05,1.92842799886469e-05,2.6055132337126e-05,0.00478265153277162,0.00022,7.41970544593581e-05,1.39770732240697e-05,6.45641886657535e-05,8.11450767830005e-06,7.36486117952334e-07,0.00056,0.000117487872856208,1.8550402644314e-06,4.86781294971051e-05,5e-04,0.00049,0.00172,6e-05,0.000117933329755945,0.00063,0.00131138268515994,3.83401707517704e-06,0.00011,8.62524634905029e-05,2.77904819470821e-05,0.00911,2.97387752709449e-05,9.35958924254023e-06,0.00014,1.51039800645396e-06,2.28536418282489e-06,1.70860061370554e-05,0.00098,1.67030647027719e-05,0.00022,1.47539540256455e-05,0.00112,0.0029
"7",0.5197,0.02133,0.1473,0.09861,0.063977136012247,0.001315,0.06382,0.05437,0.04388,0.04006,0.008521,4.03224334654035e-06,2.61361191914624e-05,0.00772,2.86804391720434e-05,2.05196385496835e-06,3.24951255240534e-06,0.00116,0.00183132544940375,0.000356,0.002026,1.38681142376483e-05,0.000263,4.64749099944251e-05,1.92842799886469e-05,2.6055132337126e-05,0.00478265153277162,0.000213,7.41970544593581e-05,1.39770732240697e-05,6e-05,8.11450767830005e-06,7.36486117952334e-07,0.000542,0.000117487872856208,1.8550402644314e-06,4.2e-05,0.000493,0.000537,0.001503,0.000143,0.000117933329755945,0.00065,0.00118,3.83401707517704e-06,7.8e-05,8.62524634905029e-05,2.77904819470821e-05,0.00882,2.97387752709449e-05,9.35958924254023e-06,7.9e-05,1.51039800645396e-06,2.28536418282489e-06,2.26e-05,0.001021,1.67030647027719e-05,0.0002052,1.47539540256455e-05,0.001102,0.002906
"8",0.5211,0.0198,0.1442,0.0975,0.0599,0.00129,0.0609,0.0586,0.0438,0.0385,0.00761,4.03224334654035e-06,4.1e-06,0.00756011473064892,4.2e-05,6e-07,3.24951255240534e-06,0.00104220540513533,0.00183132544940375,0.00041,0.00219370928217725,1.38681142376483e-05,0.00033,4.64749099944251e-05,1.92842799886469e-05,2.6055132337126e-05,0.0072,0.000222702923533226,7.41970544593581e-05,1.39770732240697e-05,6.45641886657535e-05,8.11450767830005e-06,7.36486117952334e-07,0.000557820116819377,0.00014,1.8550402644314e-06,5.5e-05,0.000496,0.000461011408662163,0.00154,7.5e-05,0.000117933329755945,0.000586,0.00131138268515994,1.3e-06,9.48088214229874e-05,8.62524634905029e-05,2.77904819470821e-05,0.00891,2.97387752709449e-05,9.35958924254023e-06,8e-05,1.51039800645396e-06,2.28536418282489e-06,1.70860061370554e-05,0.00109,1.67030647027719e-05,0.000275,1.47539540256455e-05,0.00118,0.003
"9",0.5217,0.02048,0.1443,0.09767,0.063977136012247,0.00124,0.06276,0.05479,0.04543,0.0396,0.00856,4.03224334654035e-06,2.61361191914624e-05,0.00756011473064892,2.86804391720434e-05,2.05196385496835e-06,3.24951255240534e-06,0.00104220540513533,0.00183132544940375,0.000354209818126518,0.00219370928217725,1.38681142376483e-05,0.000332076030839613,4.76e-05,1.95e-05,2.71e-05,0.00657,0.000222702923533226,7.22e-05,1.39770732240697e-05,6.45641886657535e-05,8e-06,7.36486117952334e-07,0.000557820116819377,9.97e-05,2e-06,4.86781294971051e-05,0.000487854807111889,0.000473,0.00157711012769858,8.50376169912252e-05,0.000116,0.000624746289064384,0.00131138268515994,3.83401707517704e-06,9.48088214229874e-05,9.06e-05,2.77904819470821e-05,0.00916850824568652,2.97387752709449e-05,9.2e-06,6.40900578280276e-05,1.51039800645396e-06,2.5e-06,1.70860061370554e-05,0.00105556997276958,1.67030647027719e-05,0.000205505953263496,1.32e-05,0.00114540882203152,0.00282339337224804
"10",0.5126,0.0215,0.1449,0.1003,0.063977136012247,0.00134,0.0641,0.0555,0.0446,0.0406,0.00837,4.03224334654035e-06,2.61361191914624e-05,0.0078,2.86804391720434e-05,2.05196385496835e-06,3.24951255240534e-06,0.001,0.0027,0.00042,0.00241,1.38681142376483e-05,0.00024,4.64749099944251e-05,1.92842799886469e-05,2.6055132337126e-05,0.00478265153277162,0.00024,7.41970544593581e-05,1.39770732240697e-05,6.45641886657535e-05,8.11450767830005e-06,7.36486117952334e-07,0.00058,0.000117487872856208,1.8550402644314e-06,0.00013,0.00054,0.00049,0.00171,0.00017,0.00012,0.00063,0.00131138268515994,1.2e-05,6e-05,7e-05,2.77904819470821e-05,0.0097,2.97387752709449e-05,9.35958924254023e-06,5e-05,1.51039800645396e-06,2.28536418282489e-06,7e-06,0.00108,1.67030647027719e-05,2e-04,1.47539540256455e-05,0.00117,0.00307
