"","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","B","Ba","Be","Bi","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1",0.4979,0.0376,0.1209,0.1534,0.0990737352642592,0.00214,0.0385,0.0775,0.026,0.015,0.0062,6.31854671876587e-06,1.8390663908596e-05,8.25634919920106e-05,0.00656,1.66039765016179e-05,1.01623104605632e-06,3.17399689476224e-06,0.00083,0.000579680053774671,0.00049,0.00029,0,0.00185,7.89700495533601e-05,4.06685706363459e-05,3.27373946700582e-05,0.00892762391310732,0.00022,9.30842251577299e-05,1.36760358935845e-05,7.60841664170475e-05,5.58462061448176e-07,1.4762675318807e-05,1.03717170911878e-06,0.00032,6.2983048150262e-05,4.94308844860008e-06,1.84018784248396e-05,0.00028,0.000495860316563957,0.00018,5e-05,0.000113893761466201,0.00042,0.00230183136610334,1.68593474185411e-06,0.000274742581582222,4.62957571132018e-06,0.000110512514592096,2.7336642957224e-05,0.00481,0,1.46488296138644e-05,4.35199418636919e-05,1.401305056515e-06,5.20499382647295e-06,0.00018,0.00413,9.17858572831409e-06,0.00031,3.49448155363266e-05,0.00138,0.00234
"2",0.5033,0.0351,0.125,0.1527,0.1051,0.00228,0.0386,0.0841,0.0264,0.015,0.00583,6.31854671876587e-06,1.8390663908596e-05,8.25634919920106e-05,0.0055029501343356,2.2e-05,1.01623104605632e-06,3.17399689476224e-06,0.000915084955637825,0.000579680053774671,0.00037,0.00022,0,0.00163,7.89700495533601e-05,4.06685706363459e-05,3.27373946700582e-05,0.0114,0.000242593220814546,9.30842251577299e-05,1.36760358935845e-05,7.60841664170475e-05,5.58462061448176e-07,1.4762675318807e-05,1.03717170911878e-06,0.000390331589401375,4.6e-05,4.94308844860008e-06,1.84018784248396e-05,0.00029,0.000495860316563957,0.000145,5.97501471304153e-05,0.000113893761466201,0.00031,0.0045,1.68593474185411e-06,0.00028,4.62957571132018e-06,0.000110512514592096,2.7336642957224e-05,0.00471,0,1.46488296138644e-05,5.5e-05,1.401305056515e-06,5.20499382647295e-06,1.13615914085481e-05,0.00395,9.17858572831409e-06,0.000396632547281199,3.49448155363266e-05,0.00147,0.00316
"3",0.5034,0.0371,0.1241,0.1567,0.1,0.0022,0.0394,0.0787,0.0281,0.0162,0.0064,6.31854671876587e-06,0.00012,8.25634919920106e-05,0.00422,1.66039765016179e-05,1.01623104605632e-06,1e-04,0.0019,0.00027,0.00027,0.00017,0,0.00154,4e-05,3e-05,2e-05,0.00748,0.00026,0.00017,1.36760358935845e-05,0.00011,5.58462061448176e-07,4e-05,1.03717170911878e-06,0.00019,6.2983048150262e-05,4.94308844860008e-06,2e-05,0.00036,0.00053,0.00019,5e-05,1e-04,0.00034,0.00127,0.00022,0.00028,4.62957571132018e-06,0.00017,2e-05,0.00487,0,2e-05,3e-05,1.401305056515e-06,5.20499382647295e-06,1.13615914085481e-05,0.00355,9.17858572831409e-06,0.00035,5e-05,0.00107,0.00314
"4",0.505886819480116,0.038221123090674,0.115,0.156,0.0990737352642592,0.00217,0.0384,0.078,0.0266,0.0149,0.00610033384218216,6.31854671876587e-06,1.8390663908596e-05,8.25634919920106e-05,0.00551,1.63e-05,1.01623104605632e-06,1.4e-06,0.000862,0.000579680053774671,0.000375,0.00011,3.61e-06,0.00157,7.89700495533601e-05,4.06685706363459e-05,3.27373946700582e-05,0.00892762391310732,0.000242593220814546,9.30842251577299e-05,1.36760358935845e-05,7.60841664170475e-05,5.58462061448176e-07,1.4762675318807e-05,1.03717170911878e-06,0.000477,6.26e-05,4.94308844860008e-06,1.84018784248396e-05,0.000282388939231782,0.000495860316563957,0.00021,5.25e-05,0.000113893761466201,0.000339,0.00230183136610334,1.68593474185411e-06,0.000274742581582222,4.62957571132018e-06,0.000110512514592096,2.7336642957224e-05,0.005,0,1.46488296138644e-05,4.35199418636919e-05,1.401305056515e-06,5.20499382647295e-06,8.3e-06,0.004,9.17858572831409e-06,0.000379,3.49448155363266e-05,0.00141,0.00299723999869862
"5",0.5025,0.0385,0.1249,0.1575,0.0990737352642592,0.00221,0.0393,0.0788,0.0262,0.0152,0.00635,6.31854671876587e-06,1.8390663908596e-05,8.25634919920106e-05,0.00572,1.66039765016179e-05,1.01623104605632e-06,3.17399689476224e-06,0.00101,0.000579680053774671,0.00054,9e-05,0,0.00162,7.89700495533601e-05,4.06685706363459e-05,3.27373946700582e-05,0.00892762391310732,0.00028,9.30842251577299e-05,1.6e-05,6e-05,5.58462061448176e-07,1.4762675318807e-05,1.03717170911878e-06,0.00042,6.2983048150262e-05,4.94308844860008e-06,1.84018784248396e-05,0.00027,0.00048,0.00035,5.97501471304153e-05,9e-05,0.00034,0.0038,1.68593474185411e-06,0.000274742581582222,4.62957571132018e-06,7e-05,7e-05,0.00475,0,1.46488296138644e-05,3.6e-05,1.401305056515e-06,5.20499382647295e-06,1.13615914085481e-05,0.00385,9.17858572831409e-06,0.00037,3.49448155363266e-05,0.00131,0.00293
"6",0.48365,0.03629,0.1356,0.14255,0.0990737352642592,0.00206,0.0410569105691057,0.0777,0.033,0.01685,0.00778,6.31854671876587e-06,1.8390663908596e-05,8.25634919920106e-05,0.005555,1.66039765016179e-05,1.01623104605632e-06,3.17399689476224e-06,0.000555,0.00125,0.000369349001689914,0.00033,0,0.00189,7.89700495533601e-05,4.06685706363459e-05,3.27373946700582e-05,0.00892762391310732,2e-04,9.30842251577299e-05,1.36760358935845e-05,7.60841664170475e-05,5.58462061448176e-07,1.4762675318807e-05,1.03717170911878e-06,7e-05,6.2983048150262e-05,4.94308844860008e-06,2.18788867916612e-05,0.000277635861782815,0.000495860316563957,0.000295,7.4788297428378e-05,0.000113893761466201,0.000346973118592471,0.0044,1.68593474185411e-06,0.000274742581582222,4.62957571132018e-06,0.000110512514592096,2.7336642957224e-05,0.00490393046946238,0,1.46488296138644e-05,3.23752859199269e-05,1.401305056515e-06,5.20499382647295e-06,1.13615914085481e-05,0.003765,9.17858572831409e-06,0.000388745318931744,3.49448155363266e-05,0.001485,0.00318731122903215
"7",0.5108,0.03936,0.127,0.1515,0.0865,0.00199,0.0289,0.0784,0.028,0.0164,0.0063,1.01872925e-05,2.48704325e-05,8.25634919920106e-05,0.0054915505825,1.2640615e-05,2.20285e-07,2.686665e-06,0.00093779671,0.000579680053774671,0.00031680047,9.56614125e-05,3.686985e-06,0.0013362609425,8.65326775e-05,4.1178605e-05,3.5679455e-05,0.00892762391310732,0.000226308175,0.0001035203875,1.3276405e-05,8.0874655e-05,5.58462061448176e-07,1.616499e-05,1.03717170911878e-06,0.0003862559625,5.939728e-05,4.88605e-06,1.47352625e-05,0.00029318794,0.00053463677,0.0001803506175,5.7259915e-05,0.0001213106025,0.0003241564125,0.00230183136610334,6.2025e-07,0.0002088544025,6.939295e-06,0.000112394645,2.53166175e-05,0.00457166588,2.09718475e-05,1.4610685e-05,4.0338475e-05,1.16679e-06,5.681705e-06,9.373375e-06,0.0039565296725,5.2410575e-06,0.0003293880425,3.4692195e-05,0.0011998819525,0.00278054581
"8",0.4837,0.03929,0.1389,0.1627,0.0990737352642592,0.00216,0.0364,0.0809,0.02696,0.01551,0.00554,1e-05,3e-05,8.25634919920106e-05,0.00508,2e-05,2.6e-05,1.5e-06,0.000879,0.000579680053774671,0.000354,0.000309,0,0.001647,8.17e-05,4.15e-05,3.31e-05,0.00892762391310732,0.00026,0.0001051,2.2e-05,8.9e-05,5.58462061448176e-07,1.52e-05,1.03717170911878e-06,0.000398,7.3e-05,4.8e-06,3.3e-05,0.000311,0.000493,0.00019,7.5e-05,0.000114,0.000366,0.00230183136610334,1.68593474185411e-06,0.000278,4.62957571132018e-06,0.000107,2.7336642957224e-05,0.004836,5.6e-05,1.5e-05,4e-05,1.1e-06,5.3e-06,8.6e-06,0.00409,9.17858572831409e-06,0.000429,3.39e-05,0.001435,0.003257
"9",0.50041,0.03832,0.12216,0.15036,0.0990737352642592,0.00216,0.03957,0.07972,0.02741,0.01506,0.00622,6.31854671876587e-06,1.8390663908596e-05,8.25634919920106e-05,0.00556,1.66039765016179e-05,1.01623104605632e-06,2.482e-06,0.0009413,0.000579680053774671,0.0003845,0.0001435,3.732e-06,0.001627,8.355e-05,4.004e-05,3.336e-05,0.00892762391310732,0.0002494,0.0001016,1.36760358935845e-05,7.795e-05,5.58462061448176e-07,1.557e-05,1.03717170911878e-06,0.0004158,6.728e-05,4.873e-06,1.532e-05,0.0002976,0.0005127,0.0002201,5.378e-05,0.0001205,0.0003529,0.00230183136610334,7.247e-07,0.000287,4.62957571132018e-06,0.0001094,2.54e-05,0.004944,1.897e-05,1.496e-05,3.774e-05,1.2e-06,5.451e-06,7.877e-06,0.003957,4.741e-06,0.0004121,3.42e-05,0.001499,0.003139
"10",0.509,0.0387,0.1235,0.154,0.0990737352642592,0.0022,0.0385,0.0794,0.026,0.0154,0.0066,6.31854671876587e-06,1.8390663908596e-05,8.25634919920106e-05,0.00546,1.5e-05,1.01623104605632e-06,3e-06,0.00096,0.000579680053774671,0.00037,0.00018,5e-06,0.00163,8.6e-05,4.3e-05,3.4e-05,0.00892762391310732,0.00023,0.000105,1.3e-05,8e-05,5.58462061448176e-07,1.6e-05,1e-06,0.00044,6e-05,5.1e-06,1.5e-05,0.00029,0.00051,0.00017,6e-05,0.00012,0.00035,0.0037,1e-06,0.00027,4.62957571132018e-06,0.00011,2.8e-05,0.00469,1.8e-05,1.54e-05,3.82e-05,1.1e-06,5.8e-06,8e-06,0.00407,6e-06,0.00038,3.4e-05,0.00141,0.00318
