"","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1",0.5239,0.0033,0.2234,0.0218,0.0052,0.0013,0.0021,0.0204,0.0691,0.0913,0.00043,2.61184143960527e-06,0.000288,0.000631197676034973,0.00414,0.000113,1.38e-05,3.5325204475195e-05,6.5e-06,0.00282,0.0170574661678726,1.49e-05,0.00045,0.000124,1.51e-05,3.86e-05,1.94e-05,2.27e-05,0.0403176160748862,0.000215,7.09e-05,1.310251181798e-05,9.82428313507723e-05,6.06659879102537e-06,7e-06,2.22948452136651e-07,0.00159,0.000596,2.8e-06,4.43463956113918e-05,0.000455,0.00086,4.3065044671648e-05,0.00105,0.000284,0.00221,0.0060076008842053,2.75e-05,7.3e-06,6.68444665173478e-06,0.000107,1.6e-05,0.0174,2.0222240553694e-05,7.8e-06,4.77510440258692e-06,0.000523,1.84e-05,2.8e-06,0.000112,0.000301,6.2e-05,0.000275,1.86e-05,0.00102,0.00597
"2",0.5186,0.0033,0.2248,0.0266,0.00954534538405819,0.0014,0.0027,0.0218,0.0699,0.0902,0.00035,2.61184143960527e-06,0.00023227296526023,0.000631197676034973,0.00427,9.37e-05,1.07276824143043e-05,3.5325204475195e-05,3.52501096671578e-06,0.00266,0.0170574661678726,1.64e-05,0.000409,0.000112,4.1e-05,4.35e-05,2.17e-05,2.47e-05,0.0403176160748862,0.000232,8.1e-05,1.21e-05,0.000102,6.06659879102537e-06,7.5e-06,2.22948452136651e-07,0.0015,0.000587,3.2e-06,4.43463956113918e-05,0.000443,0.000903,2.34e-05,0.00122,0.000286,0.00174,0.0060076008842053,3.32152639527396e-05,9.8e-06,6.68444665173478e-06,0.000111,2.06621053512106e-05,0.01706,1.94e-05,8.8e-06,4.77510440258692e-06,0.000602,2.13311538516301e-05,3.1e-06,0.000134,0.000294,7.18486264488123e-05,0.000258,2.1e-05,0.000917,0.00631
"3",0.5139,0.003,0.2208,0.0259,0.00954534538405819,0.0014,0.0022,0.0225,0.0685,0.0894,3e-04,2.61184143960527e-06,0.000194,0.000631197676034973,0.00402,8.12373366547619e-05,1.07276824143043e-05,2e-05,3.52501096671578e-06,0.002648,0.0170574661678726,2.17319338731289e-05,0.000388,0.000134874026735281,7.2e-05,4.15886291146743e-05,2.13481180641768e-05,2.62347657594155e-05,0.0403176160748862,0.000203,7.76415883033243e-05,1.8e-05,9.82428313507723e-05,6.06659879102537e-06,7.56669573658941e-06,2.22948452136651e-07,0.001457,0.000544346669984874,3.0934068753659e-06,4.4e-05,0.000394,0.000817,3.5e-05,0.001027,0.000275522479098841,0.001891,0.0060076008842053,3.32152639527396e-05,1.37256469800895e-05,6.68444665173478e-06,0.00011,2.06621053512106e-05,0.015965,3e-05,9.00881235558236e-06,4.77510440258692e-06,0.000522,2.13311538516301e-05,3.19599168626538e-06,0.000166,0.000247,3.4e-05,0.000262,2.00648230008948e-05,0.000709,0.005788
"4",0.509,0.003467,0.2265,0.02731,0.00954534538405819,0.0014,0.0021,0.0218,0.068,0.09207,0.000418,2.61184143960527e-06,0.000211,0.000631197676034973,0.00437,8.12373366547619e-05,1.07276824143043e-05,3.5325204475195e-05,3.52501096671578e-06,0.002827,0.0170574661678726,1.533e-05,0.0004353,0.0001213,6.3e-05,4.04e-05,1.783e-05,2.433e-05,0.0403176160748862,0.000237,6.4e-05,1.310251181798e-05,5.743e-05,4.8e-06,6.267e-06,2.22948452136651e-07,0.00161,0.0005587,2.667e-06,3.607e-05,0.000339,0.0008397,4.3065044671648e-05,0.001253,0.0002787,0.00186,0.0060076008842053,3.32152639527396e-05,1.37256469800895e-05,6.68444665173478e-06,0.0001047,2.06621053512106e-05,0.017567,2.0222240553694e-05,7.6e-06,4.77510440258692e-06,0.0006043,2.18e-05,2.5e-06,0.000132,0.0002867,7.18486264488123e-05,0.000251747021684016,1.67e-05,0.0009883,0.00287
"5",0.537,0.0037,0.219,0.0288,0.00954534538405819,0.0015,0.0031,0.0246,0.068,0.0876,6e-04,2.61184143960527e-06,0.00023227296526023,0.000631197676034973,0.00345,7.7e-05,1.07276824143043e-05,3.5325204475195e-05,3.52501096671578e-06,0.002931,0.0170574661678726,2.1e-05,0.000454,0.000116,6.2e-05,4.1e-05,2.1e-05,2.5e-05,0.0403176160748862,0.000199,8.5e-05,1.310251181798e-05,9.5e-05,6.06659879102537e-06,8e-06,2.22948452136651e-07,0.00161,0.000544346669984874,3e-06,3.7e-05,0.000427,0.000887,3.6e-05,0.000701,0.000269,0.001821,0.0060076008842053,3.32152639527396e-05,3e-06,6.68444665173478e-06,0.000111,7e-06,0.01357,1.7e-05,9e-06,4.77510440258692e-06,0.000612,1.1e-05,3e-06,0.000124,0.000292,5.1e-05,0.000257,2.1e-05,0.001549,0.005711
"6",0.5295,0.0035,0.2289,0.0254,0.00954534538405819,0.00126,0.00233,0.0235,0.0726,0.0891,4e-04,2.61184143960527e-06,0.0002798,0.000631197676034973,0.0042,8.62e-05,1.07276824143043e-05,3.5325204475195e-05,3.52501096671578e-06,0.00248,0.02113,1.53e-05,0.000261,0.000134874026735281,3.55e-05,4.1e-05,2.15e-05,2.45e-05,0.0414,0.00021475844786008,7.33e-05,1.310251181798e-05,0.000104,6.06659879102537e-06,7.3e-06,2.22948452136651e-07,0.00154,0.000584,3e-06,3.55e-05,0.0004601,0.000829,3.02e-05,0.00105,0.000258,0.00186,0.01613,3.05e-05,1.37256469800895e-05,6.68444665173478e-06,0.000109,2.06621053512106e-05,0.01724,3.4e-05,8.5e-06,4.77510440258692e-06,0.0006218,2.13311538516301e-05,2.98e-06,0.0001365,0.000265,7.18486264488123e-05,0.000245,1.98e-05,0.000959,0.00584
"7",0.5167,0.0034,0.2246,0.026,0.00954534538405819,0.0014,0.0026,0.0226,0.0698,0.0908,0.000381487115310157,2.61184143960527e-06,0.000242,0.000631197676034973,0.00474,8.37e-05,9.9e-06,3.5325204475195e-05,3.52501096671578e-06,0.00306,0.0170574661678726,1.5e-05,0.00033,0.000129,3.6e-05,4.45e-05,2.33e-05,2.59e-05,0.0403176160748862,0.000228,6.9e-05,1.310251181798e-05,0.000108,6.06659879102537e-06,8e-06,2.22948452136651e-07,0.001745,0.000588,3e-06,4.18e-05,0.000419,0.000963,4.3065044671648e-05,0.00124,0.000295,0.001995,1.8e-06,2.91e-05,1.37256469800895e-05,6.68444665173478e-06,0.00012,2.06621053512106e-05,0.01725,1.9e-05,8.7e-06,4.77510440258692e-06,0.000632,2.01e-05,3.2e-06,0.0001355,0.000283848532940342,7.18486264488123e-05,0.000255,2.31e-05,0.00105,0.00672
"8",0.5205,0.0035,0.2282,0.0265,0.00954534538405819,0.0014,0.0024,0.0227,0.0677,0.0911,0.00038,2.61184143960527e-06,0.000205,0.000631197676034973,0.004,0.000103,1.07276824143043e-05,3.5325204475195e-05,5e-06,0.00314,0.0170574661678726,1.26e-05,0.00044,0.000111,0.00013,4.23e-05,2.55e-05,2.42e-05,0.0403176160748862,0.00024,6.33e-05,1.310251181798e-05,7.08e-05,6.06659879102537e-06,7.65e-06,2.22948452136651e-07,0.00165,0.00051,3.19e-06,4.43463956113918e-05,0.00035,0.000892,4.3065044671648e-05,0.00128,0.000282,0.00187,0.0060076008842053,3.32152639527396e-05,1.37256469800895e-05,6.68444665173478e-06,0.0001124,2.06621053512106e-05,0.01641,1.02e-05,8.67e-06,4.77510440258692e-06,0.000552332716870947,2.13311538516301e-05,3.07e-06,0.000125,0.00036,7.18486264488123e-05,0.0002395,2.09e-05,0.00096,0.00565
"9",0.511,0.0033,0.2295,0.0293,0.0081,0.00145,0.0033,0.0234,0.0656,0.093,0.00029,6e-06,0.00023227296526023,0.000631197676034973,0.00416,8.1e-05,1.07276824143043e-05,3.5325204475195e-05,1.8e-06,0.00287,0.0170574661678726,1.4e-05,0.000487,0.000134874026735281,0.000161,5.41e-05,2.07e-05,2.54e-05,0.0403176160748862,0.00021475844786008,7.07e-05,1.310251181798e-05,9.82428313507723e-05,6.06659879102537e-06,7.4e-06,2.22948452136651e-07,0.001469,0.00052,2.95e-06,5e-05,0.000381043911822399,0.000798,3.4e-05,0.00109,0.0002614,0.0019919727280578,0.0173,3.32152639527396e-05,1.37256469800895e-05,1.04e-05,0.0001139,2.06621053512106e-05,0.01537,2.0222240553694e-05,1.42e-05,4.77510440258692e-06,0.000552332716870947,2.13311538516301e-05,2.8e-06,0.000124613550153549,0.000261,7.18486264488123e-05,0.000238,1.8e-05,0.0011,0.00579
"10",0.52,0.0035,0.222,0.0261,0.00954534538405819,0.0014,7e-04,0.0229,0.0723,0.0921,0.00039,6e-06,0.00027,0.000631197676034973,0.00341,8.5e-05,2.62e-05,3.5325204475195e-05,2.7e-06,0.00313,0.0161,2e-05,0.00024,0.000119,0.000144,4.64e-05,2.4e-05,3.06e-05,0.044,0.000253,9.17e-05,3e-06,7.21e-05,6.06659879102537e-06,1.07e-05,7e-07,0.00198,0.00055,5.6e-06,2.44e-05,0.000454,0.000893356574317629,3.9e-05,0.000886,0.000302,0.0015,0.009,4.52e-05,6e-06,6.68444665173478e-06,0.000119,1.8e-05,0.0132,3.16e-05,1.34e-05,6.1e-06,0.000627,1.5e-05,5.2e-06,8.2e-05,0.00029,7.7e-05,0.000272,2.5e-05,0.00107,0.00283
