"","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","B","Ba","Be","Bi","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1",0.68102,0.00504,0.15094,0.02625,0.01353,0.00044,0.0111,0.01715,0.03966,0.05581,0.00198,4.08e-06,1.77e-05,0.000125507241725003,0.0065344,0.0001081,6.13e-05,6.5e-07,0.00094695,0.00143954556927829,0.0001253,0.0024183,0.0001478,0.0005643,3.019e-05,1.379e-05,1.73e-05,1.51e-06,0.000345,5.676e-05,1.65662633474751e-05,2.739e-05,5.21e-06,2.7e-07,0.00047908,0.0009454,2.17e-06,5.55e-05,0.0001548,0.00046085,0.000193,0.0003424,0.00012,0.0038905,0.011,5.9e-06,6.78e-05,3.09664829721457e-06,7.264e-05,6.3e-05,0.004117,2.47e-05,5.72e-06,3.4e-06,0.0003271,1.574e-05,2.21e-06,9.27e-05,0.0003979,0.0002696,0.0001102,1.049e-05,0.0003038,0.0007553
"2",0.68066,0.00478,0.15133,0.02653,0.0155497876978983,0.00057,0.01143,0.01534,0.03741,0.05107,0.00182,2.66219917117261e-06,2.27812441242191e-05,0.000125507241725003,0.00727,8.04303718871581e-05,4.62663753545762e-05,9.86890011433918e-07,0.000996,0.00143954556927829,0.000122,0.00433,9.67e-05,0.000538,2.29256578593589e-05,1.038372924083e-05,1.36014824716436e-05,0.00262234316246635,0.00022,4.08815303569763e-05,1.65662633474751e-05,4.653684156664e-05,3.8556793245135e-06,2.63264978450146e-07,0.000478,0.000983908170039143,1.3816677107498e-06,4.2729798701399e-05,9.63e-05,0.000364,0.000184,0.000454,0.000104127479730135,0.00266,0.0039130825896953,3.22191107906251e-06,4.99467104776646e-05,3.09664829721457e-06,5.98272974988852e-05,3.69e-05,0.00466,1.0255202582246e-05,4.89941446699324e-06,2.65178877094226e-06,0.000295,1.29902688327133e-05,1.43883836204614e-06,7.44e-05,0.000394955720931286,0.000204836292960321,0.000111804576529345,9.22155724152813e-06,0.00031,0.00203
"3",0.6821,0.0048,0.1544,0.027,0.0155497876978983,0.00043,0.012,0.0179,0.0385,0.053,0.00217,2.66219917117261e-06,1.7e-05,0.000125507241725003,0.006439,8.04303718871581e-05,4.1e-05,9.86890011433918e-07,0.000761,0.00143954556927829,6.1e-05,0.004145,0.000107,0.00047,2.29256578593589e-05,1.038372924083e-05,1.36014824716436e-05,0.00262234316246635,0.000223,4.08815303569763e-05,1.65662633474751e-05,4.2e-05,3.8556793245135e-06,2.63264978450146e-07,0.000454,0.000983908170039143,1.3816677107498e-06,3.4e-05,0.000106,0.000254,0.000147,0.000349,0.000104127479730135,0.002516,0.003,3.1e-05,3.2e-05,3.09664829721457e-06,5.6e-05,5.7e-05,0.004261,1.1e-05,4.89941446699324e-06,1.6e-05,0.000213,1.29902688327133e-05,1.43883836204614e-06,8.7e-05,0.000303,0.00017,9.2e-05,9.22155724152813e-06,3e-04,0.00152
"4",0.6813,0.00472,0.1534,0.0274,0.0155497876978983,0.000469,0.01173,0.01713,0.03662,0.0476,0.00208,2.66219917117261e-06,2.27812441242191e-05,0.000125507241725003,0.00691,9.87e-05,4.62663753545762e-05,9.86890011433918e-07,0.000965,0.00143954556927829,5.8e-05,0.00484,0.000965,0.000525,2.31e-05,1.01e-05,1.54e-05,0.00262234316246635,0.000236945286108005,4.85e-05,1.65662633474751e-05,4.51e-05,4e-06,2.63264978450146e-07,0.000471,0.000983908170039143,1.5e-06,4.5e-05,0.0001473,0.000393,0.000188,0.000458,0.0001099,0.00254,0.0039130825896953,3.22191107906251e-06,4.4e-05,3.09664829721457e-06,6.01e-05,4.33801344036699e-05,0.00386,1.238e-05,5.5e-06,2.65178877094226e-06,0.0002326,1.29902688327133e-05,1.5e-06,8.18e-05,0.0003938,0.0002254,0.0001035,1.02e-05,0.0003245,0.001825
"5",0.6788,0.0048,0.1518,0.0262,0.0155497876978983,0.000460382894986566,0.0112,0.0164,0.0379,0.0495,0.002,2.66219917117261e-06,1.476429763e-05,0.000125507241725003,0.008492079688,6.64062068e-05,3.589903364e-05,6.6061202e-07,0.00110750297,0.00143954556927829,4.12535366e-05,0.004371436915,0.0007157957966,0.0004223004469,2.662128458e-05,1.250258266e-05,1.561575811e-05,0.00262234316246635,0.0002515490573,4.299962961e-05,1.65662633474751e-05,3.42652572e-05,4.68982983e-06,2.63264978450146e-07,0.0005432565342,0.002175525132,1.67692048e-06,3.478751838e-05,0.000119229741679772,0.0004267398657,0.0001293692917,0.0004010952852,0.0001242541023,0.008084059479,0.0039130825896953,1.92687745e-06,8.119675754e-05,3.09664829721457e-06,6.773487636e-05,4.747170529e-05,0.004506013613,9.23900557e-06,5.6181356e-06,2.65178877094226e-06,0.0004125302005,1.709214782e-05,1.7739547e-06,7.597530013e-05,0.0003320565222,0.0002366204421,0.0001746308443,1.207282184e-05,0.0002458504876,0.001149004035
"6",0.6864,0.00487,0.1514,0.0275,0.0155497876978983,0.00046,0.0113,0.017,0.038,0.0507,0.00208,2.66219917117261e-06,2.27812441242191e-05,0.000125507241725003,0.00719,8.04303718871581e-05,4.62663753545762e-05,9.86890011433918e-07,0.0009859,0.00143954556927829,5.95389147141074e-05,0.00515,0.0001394,0.00053,2.54e-05,1.08e-05,1.48e-05,0.00262234316246635,0.00023,3.88e-05,1.65662633474751e-05,5.03e-05,4.4e-06,2.63264978450146e-07,0.0004955,0.000983908170039143,1.4e-06,4.2729798701399e-05,0.0001212,0.0003821,0.00017,0.0004134,0.0001101,0.00268,0.0039130825896953,3.22191107906251e-06,4.8e-05,3.09664829721457e-06,6.2e-05,4.33801344036699e-05,0.00468,9.7e-06,5.1e-06,2.65178877094226e-06,0.0002473,1.29902688327133e-05,1.5e-06,7.99e-05,0.00042,0.000204836292960321,0.000116,9.4e-06,0.00031,0.00182
"7",0.6821,0.005,0.1543,0.026,0.0155497876978983,5e-04,0.0118,0.0166,0.04,0.0503,0.0019,2.66219917117261e-06,2.9e-05,0.000125507241725003,0.006585,8.04303718871581e-05,4.62663753545762e-05,9.86890011433918e-07,0.000832,0.00143954556927829,6.5e-05,0.004235,0.000131,0.000455,2.29256578593589e-05,1.038372924083e-05,1.36014824716436e-05,0.00262234316246635,0.000218,4.08815303569763e-05,1.65662633474751e-05,4.653684156664e-05,3.8556793245135e-06,2.63264978450146e-07,0.000568,0.000983908170039143,1.3816677107498e-06,3.1e-05,0.000109,0.000276,0.00016,0.000546,0.000104127479730135,0.002654,0.0039130825896953,3.22191107906251e-06,8.2e-05,3.09664829721457e-06,3.2e-05,4.33801344036699e-05,0.004451,1.0255202582246e-05,4.89941446699324e-06,2.65178877094226e-06,0.000208,1.29902688327133e-05,1.43883836204614e-06,8.6e-05,0.000386,0.000233,0.000119,9.22155724152813e-06,0.000326,0.001638
"8",0.683000024759003,0.00487478632025691,0.1604,0.0281,0.0155497876978983,0.00044,0.0122,0.0161,0.0393,0.0513,0.00208278466247061,2.66219917117261e-06,2.27812441242191e-05,0.000125507241725003,0.007173,8.04303718871581e-05,4.62663753545762e-05,9.86890011433918e-07,0.0009408,0.00143954556927829,5.31e-05,0.005238,0.0001372,0.0005072,2.15e-05,9.34e-06,1.25e-05,0.00262234316246635,0.0002399,4.19e-05,1.65662633474751e-05,4.82e-05,3.83e-06,2.63264978450146e-07,0.000467,0.000983908170039143,1.38e-06,4.04e-05,0.0001266,0.0003686,0.0002068,0.0004363,0.0001068,0.002622,0.0039130825896953,3.22191107906251e-06,5.24e-05,3.09664829721457e-06,5.66e-05,4.33801344036699e-05,0.004343,1.05e-05,5.32e-06,2.65178877094226e-06,0.0002315,1.29902688327133e-05,1.48e-06,7.45e-05,0.0003818,0.000204836292960321,0.0001106,9.13e-06,0.0003109,0.001736
"9",0.6869,0.0046,0.1554,0.021,0.01,5e-04,0.0133,0.0171,0.0385,0.0502,0.0021,2e-06,1.8e-05,8.4e-05,0.00475,3.8e-05,3.3e-05,1.9e-07,0.00057,0.00143954556927829,4e-05,0.0041,9e-05,0.00037,1.5e-05,6.8e-06,9e-06,0.00262234316246635,0.00021,2.5e-05,1.6e-05,2.4e-05,2.6e-06,2.63264978450146e-07,0.00027,0.00053,9e-07,4.9e-05,0.00012,0.00024,0.00014,0.00015,6.6e-05,0.00213,1e-06,1.5e-06,4.3e-05,1.78e-06,3.8e-05,3e-05,0.0034,9e-06,2.6e-06,9e-07,9.1e-05,8e-06,9e-07,5.2e-05,0.00033,0.00021,7e-05,6e-06,2e-04,0.0013
"10",0.6916,0.00483,0.1561,0.0269,0.0155497876978983,4e-04,0.012,0.0172,0.0371,0.051,0.00198,2.66219917117261e-06,2.33e-05,0.000125507241725003,0.0070306,8.291e-05,5.352e-05,1.99e-06,0.0009203,0.00143954556927829,5.356e-05,0.00474845,0.0001335,0.00056371,2.228e-05,9.97e-06,1.373e-05,0.00262234316246635,0.0002374,3.663e-05,1.65662633474751e-05,5.039e-05,3.71e-06,2.63264978450146e-07,0.0004662,0.000983908170039143,1.33e-06,3.85e-05,0.0001168,0.0003653,0.00028265,0.00041072,0.0001018,0.0026421,0.0039130825896953,3.22191107906251e-06,4.99467104776646e-05,3.09664829721457e-06,5.69e-05,4.55e-05,0.0045191,7.54e-06,4.77e-06,2.65178877094226e-06,0.00023047,1.187e-05,1.38e-06,7.646e-05,0.00037429,0.0002005,0.00010893,8.95e-06,0.00044,0.0017496
