"","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","B","Ba","Be","Bi","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1",0.5751,0.0107,0.1934,0.0451,0.0284511702745096,0.0015,0.0107,0.0358,0.0658846139040743,0.0381,0.006005298589175,1.94807396581292e-06,8e-05,9.07327600470181e-05,0.0131219157750025,3.94e-05,2.6504647324052e-07,1.2529523174346e-06,0.0018532826870116,0.000363845036025331,4.79e-05,0.00133,2.56e-05,8.09e-05,4.98e-05,2.54e-05,2.97e-05,0.00137533093598794,0.0002418,7.53e-05,1.52088266702165e-05,0.000110587745026985,2.20656457398433e-07,1.10823815467242e-05,4.1758787455936e-07,0.0004246,0.0001471,4.4e-06,5.123713870101e-05,0.00098,0.0003621,5.15e-05,5.78630950131466e-05,0.0001107,0.00065,0.00069493265787484,4.22749679901447e-06,4.7e-05,9.35514898330883e-06,7.31e-05,2.40523380272779e-05,0.00965,5.75176147986095e-05,9.8e-06,1.98001305486321e-06,7.82e-05,2.28741361418248e-07,3.8e-06,3.95e-05,0.0003357,2.90989493106014e-05,0.0002081,2.43e-05,0.00073,0.00496
"2",0.5834,0.0108,0.1898,0.0415,0.0284511702745096,0.0011,0.0083,0.0347,0.071,0.0372,0.0061,1.94807396581292e-06,2.00796680111083e-05,9.07327600470181e-05,0.01355,3.5752243378418e-05,2.6504647324052e-07,1.2529523174346e-06,0.0018532826870116,0.000363845036025331,5e-05,0.00121,8.70729804230674e-06,5e-05,5.65099524016632e-05,3.19965127553293e-05,4.62537171715041e-05,0.00876,0.00024,8.21232697438004e-05,1.52088266702165e-05,0.000110587745026985,2.20656457398433e-07,1.10823815467242e-05,4.1758787455936e-07,0.000953540850932123,0.000170901031000371,5.26253697716601e-06,8e-05,0.00107,0.000669670117918681,7e-05,7e-05,0.000192196084287233,0.00062,0.00233,4.22749679901447e-06,8e-05,9.35514898330883e-06,0.000108139329811774,2e-05,0.01059,5.75176147986095e-05,1.1185143144412e-05,1.98001305486321e-06,0.00015,2.28741361418248e-07,4.51663855782488e-06,9e-05,0.00029,7e-05,0.00027,2.89354810607565e-05,6e-04,0.00473
"3",0.5787,0.0111,0.1949,0.0475,0.0295,0.00135,0.0114,0.0374,0.0672,0.0374,0.0057,1.94807396581292e-06,2.00796680111083e-05,9.07327600470181e-05,0.01448,3.6e-05,2.6504647324052e-07,5.7e-06,0.00178,0.000363845036025331,6e-05,0.00119,8.70729804230674e-06,7.84240947606218e-05,7.61e-05,4.11e-05,5.55e-05,0.00137533093598794,0.000246,0.000119,1.52088266702165e-05,0.000110587745026985,2.20656457398433e-07,1.22e-05,4.1758787455936e-07,0.00115,0.000179,4.9e-06,5.123713870101e-05,0.00114,0.00075,4.08871347513166e-05,5.78630950131466e-05,0.000221,0.00067,0.00069493265787484,4.22749679901447e-06,6.63213645086315e-05,9.35514898330883e-06,0.000124,2.40523380272779e-05,0.01092,5.75176147986095e-05,1.53e-05,1.98001305486321e-06,0.000115425077292255,2.28741361418248e-07,4.8e-06,3.37170917770764e-05,0.000279,2.90989493106014e-05,0.000302,3.33e-05,0.000627,0.00484
"4",0.5785,0.0108,0.1968,0.0476,0.0284511702745096,0.0014,0.0112,0.0375,0.0684,0.0387,0.006,1.5e-05,2.00796680111083e-05,9.07327600470181e-05,0.01286,3.5752243378418e-05,2.6504647324052e-07,1.2529523174346e-06,0.00179,0.000363845036025331,5e-05,0.00122,2e-05,7e-05,5.65099524016632e-05,3.19965127553293e-05,4.62537171715041e-05,0.00137533093598794,0.00023,8.21232697438004e-05,2e-05,1e-04,2.20656457398433e-07,1.10823815467242e-05,4.1758787455936e-07,0.00101,0.000170901031000371,5.26253697716601e-06,3e-05,0.00097,0.00066,2e-05,7e-05,0.000192196084287233,0.00067,0.00069493265787484,4.22749679901447e-06,7e-05,9.35514898330883e-06,9e-05,1.4e-05,0.01088,5e-05,1.1185143144412e-05,1.98001305486321e-06,0.00014,2.28741361418248e-07,4.51663855782488e-06,4e-05,0.00027,4e-05,0.00028,2e-05,0.00063,0.00486
"5",0.5765,0.01068,0.1949,0.04695,0.037,0.00144,0.01134,0.03764,0.06761,0.03765,0.00596,8.35e-06,2.00796680111083e-05,9.07327600470181e-05,0.01328,3.338e-05,2.6504647324052e-07,1.2529523174346e-06,0.001713,0.000363845036025331,5.37e-05,0.00122,7e-06,8.875e-05,4.845e-05,2.62e-05,4.045e-05,0.00137533093598794,0.0002479,6.52e-05,1.36e-05,9.92e-05,2.20656457398433e-07,8.95e-06,4.1758787455936e-07,0.000862,0.0001755,4.6e-06,4.945e-05,0.0011246,0.0006195,3.2e-05,6.67e-05,0.00018055,0.000711,0.00069493265787484,4.22749679901447e-06,6e-05,9.35514898330883e-06,9.09e-05,2.75e-05,0.01126,5.9e-05,9.1e-06,1.98001305486321e-06,9.995e-05,2.28741361418248e-07,3.8e-06,2.975e-05,0.0002325,2.77e-05,0.000292,2.475e-05,0.00088,0.00392
"6",0.576569756325061,0.01082,0.1738,0.04446,0.0284511702745096,0.00135,0.01098,0.04035,0.06609,0.0377,0.00618,6.87e-07,8.415e-06,9.07327600470181e-05,0.01237,3.519e-05,1.5e-08,3.16e-07,0.001882,0.000363845036025331,5.371e-05,0.001267,6.222e-06,6.146e-05,5.576e-05,3.206e-05,4.512e-05,0.00137533093598794,0.0002098,7.346e-05,1.52088266702165e-05,8.747e-05,2.20656457398433e-07,1.04e-05,4.1758787455936e-07,0.00103,0.0001727,4.003e-06,5.667e-05,0.001065,0.0006916,2.746e-05,5.862e-05,0.0001949,0.0006628,0.00152,2.181e-06,6.63213645086315e-05,3.71e-07,0.0001042,2.147e-05,0.01041,6.027e-05,1.001e-05,1.98001305486321e-06,0.0001167,1.85e-07,4.669e-06,3.23e-05,0.000268,2.655e-05,0.000288,2.766e-05,0.0008516,0.00316
"7",0.5726,0.0106,0.1937,0.0483,0.029725,0.0013,0.0112,0.0376,0.0667,0.0375,0.0061,1.94807396581292e-06,1.01e-05,8.253e-05,0.01273,3.64e-05,2.6504647324052e-07,7e-07,0.00181,0.00185195,5.22e-05,0.00126,6.2e-06,8.5e-05,5.98e-05,3e-05,4.77e-05,0.0079,0.000266,7.56e-05,1.78e-05,0.000116,6.24e-09,1.15e-05,4e-07,0.000949,0.00016775,4.43e-06,4.85e-05,0.000997,0.000685,3.1e-05,6.1e-05,0.000196,0.000661,0.00159,4e-06,6.53e-05,9.35514898330883e-06,0.000106,2.55e-05,0.01087,6.85e-05,1.05e-05,1.98001305486321e-06,0.000122,2.28741361418248e-07,4.45e-06,3.25e-05,0.00026,2.66e-05,0.000294,2.96e-05,0.000864,0.00544
"8",0.5747,0.01104,0.1983,0.0467,0.0284511702745096,0.00138,0.0105,0.0372,0.0694,0.0372,0.00603,2.45e-05,2.00796680111083e-05,9.07327600470181e-05,0.01373,4.14e-05,2.6504647324052e-07,1.2529523174346e-06,0.00169,0.000363845036025331,7e-05,0.00152,7.3e-06,0.0001672,5.96e-05,3.14e-05,5.06e-05,0.00137533093598794,0.000251823974418666,7.75e-05,1.52088266702165e-05,0.000110587745026985,2.20656457398433e-07,1.12e-05,4.1758787455936e-07,0.00119,0.000204,4.2e-06,6.09e-05,0.00095,0.000702,3.3e-05,6.84e-05,0.000204,0.000735,0.00069493265787484,2.9e-06,6.2e-05,9.35514898330883e-06,0.0001073,2.6e-05,0.00991,5.75176147986095e-05,1.06e-05,1.98001305486321e-06,0.0001159,2.28741361418248e-07,4.2e-06,3.56e-05,0.00035,2.90989493106014e-05,3e-04,2.82e-05,0.000724211892946269,0.00491
"9",0.5696,0.0111,0.1926,0.0509,0.0284511702745096,0.00149,0.0115,0.0383,0.0674,0.0385,0.00613,1.94807396581292e-06,2.00796680111083e-05,9.07327600470181e-05,0.01375,3.5752243378418e-05,2.6504647324052e-07,1.2529523174346e-06,0.00179,0.000363845036025331,5.57192190314981e-05,0.00114,8.70729804230674e-06,7.6e-05,5.65099524016632e-05,3.19965127553293e-05,4.62537171715041e-05,0.00137533093598794,0.00025,8.21232697438004e-05,1.52088266702165e-05,0.000110587745026985,2.20656457398433e-07,1.10823815467242e-05,4.1758787455936e-07,0.000953540850932123,0.000170901031000371,5.26253697716601e-06,5.123713870101e-05,0.00095,0.00067,4.08871347513166e-05,5.78630950131466e-05,0.000192196084287233,0.00066,0.00069493265787484,4.22749679901447e-06,6.63213645086315e-05,9.35514898330883e-06,0.000108139329811774,2.40523380272779e-05,0.01065,5.75176147986095e-05,1.1185143144412e-05,1.98001305486321e-06,0.00014,2.28741361418248e-07,4.51663855782488e-06,3.37170917770764e-05,0.00028,2.90989493106014e-05,0.00029,2.89354810607565e-05,0.00059,0.00479
"10",0.55442,0.01059,0.19533,0.05508,0.0284511702745096,0.00132,0.01038,0.03717,0.05255,0.03953,0.00646,1.94807396581292e-06,2.00796680111083e-05,9.07327600470181e-05,0.01361,3.5752243378418e-05,2.6504647324052e-07,1.2529523174346e-06,0.00655,0.000363845036025331,0.00012,0.00132,8.70729804230674e-06,0.00015,1e-05,3.19965127553293e-05,4.62537171715041e-05,0.00724,0.00026,0.00011,1.52088266702165e-05,0.00014,2.20656457398433e-07,1.10823815467242e-05,4.1758787455936e-07,0.00065,0.00018,5.26253697716601e-06,5e-05,0.00077,0.00112,0.00022,4e-05,0.00024,0.00063913199502828,0.00069493265787484,4.22749679901447e-06,6.63213645086315e-05,9.35514898330883e-06,0.00037,2.40523380272779e-05,0.01099,5.75176147986095e-05,1.1185143144412e-05,1.98001305486321e-06,0.000115425077292255,2.28741361418248e-07,4.51663855782488e-06,3.37170917770764e-05,0.00052,2.90989493106014e-05,0.00052,2.89354810607565e-05,0.00078,0.0064
