"","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Ba","Be","Bi","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1",0.6077,0.00856,0.1738,0.06206,0.0379,0.00094,0.03186,0.05984,0.04248,0.01252,0.0017,1.07276611713763e-06,1.28298394521678e-05,0.00302,1.24755388072964e-05,3.92846731254129e-06,1.30374674152792e-06,0.00025,0.000463178992333751,2e-04,0.00044,3.72121628340981e-06,0.00045,2e-05,1.51017473364727e-05,1.15441982506921e-05,0.0029456619573746,0.000207,3.38150321431173e-05,1.00625921178374e-05,3.57805660831391e-05,5.60182198061512e-06,0.00013,0.00012,2.03007129041361e-06,1.44821293567416e-05,7.4e-05,0.000182507189364999,4e-04,0.00014,4.288962827701e-05,0.000165,0,7.67534520812709e-06,0.00012,3.58230689221933e-05,2.21185387184798e-05,0.00543,6.74939100436824e-06,5.21142777776697e-06,2.7848902895025e-05,3.09672885527078e-06,2.25186715958729e-06,0,0.00099,1.60762906345751e-05,0.000168,1.39726560207338e-05,0.00071,0.00153
"2",0.604,0.00845,0.1766,0.0607,0.0363804579716875,0.00098,0.0323,0.0603,0.0413,0.0123,0.00174,1.07276611713763e-06,1.28298394521678e-05,0.003395,1.24755388072964e-05,3.92846731254129e-06,1.30374674152792e-06,0.000335723559079081,0.000463178992333751,0.000185709067441876,0.000391,3.72121628340981e-06,0.000279,2.79290865630495e-05,1.51017473364727e-05,1.15441982506921e-05,0.0029456619573746,0.000203,3.38150321431173e-05,1.00625921178374e-05,3.57805660831391e-05,5.60182198061512e-06,0.000159303235649188,0.000116690197350288,2.03007129041361e-06,1.44821293567416e-05,9e-05,0.000182507189364999,0.000293,9.7e-05,4.288962827701e-05,0.000185,0,7.67534520812709e-06,0.000139364615396092,3.58230689221933e-05,2.21185387184798e-05,0.005442,6.74939100436824e-06,5.21142777776697e-06,2.8e-05,3.09672885527078e-06,2.25186715958729e-06,1.8e-05,0.000992,1.60762906345751e-05,0.000164,1.39726560207338e-05,0.000611,0.001476
"3",0.5969,0.00845,0.173,0.0621,0.0363804579716875,0.00093,0.0324,0.0591,0.0412,0.0122,0.00139,1.07276611713763e-06,1.28298394521678e-05,0.0029,1.24755388072964e-05,3.92846731254129e-06,6.4e-07,0.000335723559079081,0.000463178992333751,0.0001884,0.00046,3.72121628340981e-06,0.0002749,2.79290865630495e-05,1.51017473364727e-05,1.15441982506921e-05,0.0029456619573746,2e-04,3.38150321431173e-05,1.00625921178374e-05,3.57805660831391e-05,5.60182198061512e-06,0.000159303235649188,0.000116690197350288,2.03007129041361e-06,1.44821293567416e-05,8e-05,0.000182507189364999,0.00033,8.49e-05,4.288962827701e-05,0.00016,0,7.67534520812709e-06,0.00016,3.58230689221933e-05,2.21185387184798e-05,0.00537,6.74939100436824e-06,5.21142777776697e-06,2.7848902895025e-05,3.09672885527078e-06,2.25186715958729e-06,0,0.00129,1.60762906345751e-05,0.00016,1.39726560207338e-05,0.00067,0.00143
"4",0.615,0.0088,0.17,0.061,0.0375,0.00095,0.0318,0.061,0.041,0.0128,0.0017,1.07276611713763e-06,5e-06,0.00306,1.1e-05,3.92846731254129e-06,1.30374674152792e-06,0.00036,0.000463178992333751,2e-04,0.00034,2.3e-06,0.00027,2.96e-05,1.46e-05,1.17e-05,0.0028,2e-04,3.3e-05,1e-05,3.9e-05,5.1e-06,0.000169,0.000118,1.98e-06,9e-06,0.000104,0.000177,0.00034,9e-05,4.29e-05,0.000195,0,8.5e-06,0.00014,3.7e-05,1.6e-05,0.0055,6.5e-06,4.7e-06,2.46e-05,7e-07,2e-06,8.1e-06,0.00114,3e-06,0.000152,1.31e-05,0.00073,0.00136
"5",0.6026,0.0082,0.1772,0.0594,0.0363804579716875,0.001,0.032,0.06,0.0421,0.0121,0.00166,1.07276611713763e-06,1.28298394521678e-05,0.00278,1.24755388072964e-05,3.92846731254129e-06,1.30374674152792e-06,0.00035,0.000463178992333751,0.00017,0.00032,3.72121628340981e-06,0.00028,2.79290865630495e-05,1.51017473364727e-05,1.15441982506921e-05,0.0029456619573746,0.00022,3.38150321431173e-05,1.00625921178374e-05,3.57805660831391e-05,5.60182198061512e-06,0.00014,0.000116690197350288,2.03007129041361e-06,1.44821293567416e-05,0,0.000182507189364999,0.00028,0.00018,4.288962827701e-05,0.00017,0,7.67534520812709e-06,0.000139364615396092,3.58230689221933e-05,2.21185387184798e-05,0.00297,6.74939100436824e-06,5.21142777776697e-06,2.7848902895025e-05,3.09672885527078e-06,2.25186715958729e-06,0,0.001,1.60762906345751e-05,0.00018,1.39726560207338e-05,0.00068,0.00138
"6",0.6,0.00835,0.178,0.06,0.0363804579716875,0.00096,0.0319,0.0605,0.0426,0.0125,0.0017,1.07276611713763e-06,1.28298394521678e-05,0.0031,1.24755388072964e-05,3.92846731254129e-06,1.30374674152792e-06,0.00033,0.000463178992333751,0.00019,0.00033,2e-06,0.00023,2.65e-05,1.35e-05,1.1e-05,0.0029456619573746,0.000203830471368368,3e-05,1.00625921178374e-05,3.5e-05,5.5e-06,0.000161,0.000116690197350288,1.9e-06,8e-06,7e-05,0.000168,0.00034,1e-04,4.16e-05,0.000178,0,7.5e-06,0.000127,3.66e-05,1.5e-05,0.00535,5.6e-06,5e-06,2.45e-05,3.09672885527078e-06,2.1e-06,7.7e-06,0.00112,8.7e-06,0.000149,1.3e-05,0.00066,0.00143
"7",0.606,0.0086,0.173,0.0615,0.0363804579716875,9e-04,0.032,0.061,0.041,0.0122,0.0018,1.07276611713763e-06,1.28298394521678e-05,0.00318,1.21e-05,7e-07,2.5e-06,0.00036,3e-04,0.00019,0.00035,3.72121628340981e-06,0.00031,3.2e-05,1.8e-05,1.2e-05,0.0033,2e-04,3.9e-05,1.00625921178374e-05,4.5e-05,6.3e-06,0.00017,0.00012,2.4e-06,1.1e-05,8.5e-05,0.00019,0.00027,8.9e-05,4.6e-05,0.00018,0,6e-06,0.00015,3.9e-05,1.7e-05,0.0053,9e-06,5e-06,2.9e-05,8e-07,2.4e-06,8.8e-06,0.00096,3e-06,0.00015,1.6e-05,0.00067,0.00144
"8",0.6045,0.0086,0.1766,0.0613,0.0363804579716875,0.00095,0.0314,0.0602,0.0418,0.0123,0.00171,1.07276611713763e-06,1.28298394521678e-05,0.00308,1.24755388072964e-05,3.92846731254129e-06,1.30374674152792e-06,0.00039,0.000463178992333751,0.00021,0.00052,3.72121628340981e-06,0.00029,2.79290865630495e-05,1.51017473364727e-05,1.15441982506921e-05,0.0029456619573746,0.00022,3.38150321431173e-05,1.1e-05,2.8e-05,5.60182198061512e-06,0.00017,0.000116690197350288,2.03007129041361e-06,2.8e-05,6e-05,0.00018,0.00034,0.000102823594623432,4e-05,0.00022,0,7.67534520812709e-06,0.00011,4e-05,2.21185387184798e-05,0.00529,7e-05,5.21142777776697e-06,4.3e-05,5e-06,2.25186715958729e-06,0,0.00109,8e-05,0.00013,1.39726560207338e-05,0.00067,0.0014
"9",0.6059,0.0085,0.1751,0.0608,0.0375,0.00096,0.032,0.0602,0.0424,0.0124,0.0019,1.07276611713763e-06,1.28298394521678e-05,0.00324,1.24755388072964e-05,3.92846731254129e-06,1.30374674152792e-06,0.000335723559079081,0.000463178992333751,0.00023,0.00041,3.72121628340981e-06,0.000308129596340825,2.79290865630495e-05,1.51017473364727e-05,1.15441982506921e-05,0.0029456619573746,2e-04,3.38150321431173e-05,1.00625921178374e-05,3.57805660831391e-05,5.60182198061512e-06,0.00017,0.000116690197350288,2.03007129041361e-06,1.44821293567416e-05,9e-05,0.00024,0.00033,0.000102823594623432,4.288962827701e-05,0.00021,0,7.67534520812709e-06,0.000139364615396092,3.58230689221933e-05,2.21185387184798e-05,0.00556,6.74939100436824e-06,5.21142777776697e-06,2.7848902895025e-05,3.09672885527078e-06,2.25186715958729e-06,0,0.00108,1.60762906345751e-05,0.00015,1.39726560207338e-05,7e-04,0.00152
"10",0.6062,0.008539,0.1774,0.05848,0.0363804579716875,0.000955,0.0317,0.05826,0.04525,0.01236,0.00164,1.07276611713763e-06,1.28298394521678e-05,0.00314,1e-05,3.92846731254129e-06,1.30374674152792e-06,0.000358,0.00069,0.000176,0.000357,2e-06,0.00029,3e-05,1.61e-05,1.16e-05,0.0029456619573746,0.000197,3.79e-05,1.13e-05,3.45e-05,5.7e-06,0.000133,0.000116690197350288,2.1e-06,1.21e-05,7.65e-05,0.0001839,0.00036,7.84e-05,4.37e-05,0.000174,0,6.6e-06,0.000141,3.65e-05,2.21185387184798e-05,0.00539,5e-06,5.5e-06,2.19e-05,3.09672885527078e-06,2.2e-06,7.8e-06,0.00108,1.60762906345751e-05,0.000173,1.45e-05,0.000631,0.001426
"11",0.6067,0.00884,0.1758,0.0621,0.0363804579716875,0.000958131634095137,0.0313799038070572,0.06184,0.0421,0.0125,0.00172869177164344,1.07276611713763e-06,1.28298394521678e-05,0.00320580778112716,1.24755388072964e-05,3.92846731254129e-06,1.30374674152792e-06,0.00029,0.000463178992333751,0.000185709067441876,0.000385487754365569,3.72121628340981e-06,0.000308129596340825,2.23e-05,1.25e-05,9.81e-06,0.0025,0.000203830471368368,3.01e-05,1.00625921178374e-05,3.17e-05,4.18e-06,0.000146,0.00011,1.65e-06,1.44821293567416e-05,0,0.000161,0.000322565518004971,0.000102823594623432,4.288962827701e-05,0.00016,0,7.67534520812709e-06,0.000139364615396092,3.04e-05,2.21185387184798e-05,0.00584,6.74939100436824e-06,4.46e-06,2.13e-05,3.09672885527078e-06,2.01e-06,7.15e-06,0.00103198103552603,1.60762906345751e-05,0.000161826771811535,1.08e-05,0.000647351954867482,0.00144911813858168
