"","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1",0.634,0.00791,0.1493,0.0586,0.0452209699335985,0.0014,0.0227,0.0449,0.0356,0.027,0.00177,0,2.12909758248428e-05,0.000381265574675371,0.00355,2.55060551618717e-05,2.5e-05,1.5e-05,2.2e-06,0.00053,0.00148,0.00016,0.00056,2.76328346403152e-05,0.00026,7.28382608480474e-05,4.88797391564063e-05,1.64664058473227e-05,0.0043,0.00018,7.3154124895404e-05,8e-06,4.8e-05,1.58679936716521e-05,0.00032,0.000330989032583413,6.91990015557219e-06,2.2e-05,0.00011,0.00027,0.00025,0.00018,9e-05,0.00102,0.000863377401693486,2.1e-05,0.000184624402081785,4.2e-05,2e-05,0.00106,1.7e-05,1.23949488668255e-05,9e-05,4e-06,7.14506029373017e-06,9e-06,0.00079,5.5e-05,0.00047,4.11860361492358e-05,0.00071,0.00197
"2",0.618,0.0078,0.155,0.062,0.0452209699335985,0.00141,0.0247,0.048,0.0363,0.027,0.0018,0,2.12909758248428e-05,0.000381265574675371,0.0038,2.55060551618717e-05,5.72508330294044e-06,1.55774836948437e-05,3.22866094705004e-06,0.00061,0.00215575890999486,0.000122,0.00055,1.93e-05,0.00025,7.43e-05,4.22e-05,1.53e-05,0.00230453816874341,0.000167827937137655,6.36e-05,1.71712777405739e-05,4.89e-05,1.61e-05,0.000229,0.000330989032583413,6.8e-06,1.15e-05,0.000108,0.000264,2e-04,0.000128,6.4e-05,0.000946,0.000863377401693486,2.7e-06,0.000198,6.52e-05,1.86e-05,0.00085,9.4e-06,1.17e-05,7.6e-05,4.50844759630647e-06,6.8e-06,1.9e-05,0.00083,1.48e-05,0.00045,4.2e-05,7e-04,0.0018
"3",0.6346,0.0079,0.1486,0.0588,0.0462,0.00149,0.0234,0.0455,0.0361,0.0273,0.00174,0,2.12909758248428e-05,0.000381265574675371,0.00345,2.55060551618717e-05,5.72508330294044e-06,1.55774836948437e-05,3.22866094705004e-06,0.000559,0.00215575890999486,0.00012,5e-04,2.76328346403152e-05,0.00028,7.9e-05,4.36e-05,1.67e-05,0.00230453816874341,0.00014,7.26e-05,1.71712777405739e-05,5.79182660402812e-05,1.53e-05,0.000245,0.000330989032583413,6.9e-06,1.93539033081081e-05,0.00014,0.000262,0.00024,0.00014,7.11397411985074e-05,0.00094,0.000863377401693486,3.57993189263151e-06,0.000184,7.36e-05,2.42285836690759e-05,0.00111,1.18005502657625e-05,1.3e-05,9e-05,4.50844759630647e-06,7.14506029373017e-06,2.20491426988458e-05,0.00081,2.54194970720216e-05,0.000473,4.44e-05,6e-04,0.00189
"4",0.627,0.0076,0.145,0.061,0.0452209699335985,0.0014,0.0233,0.046,0.0356,0.0265,0.002,0,0.00019,0.00033,0.00343,1.5e-05,0.00053,1.55774836948437e-05,5e-05,6e-04,0.00215575890999486,0.00022,6e-04,2.76328346403152e-05,0.00034,1.29e-05,5.57e-05,1.96e-05,0.00230453816874341,0.000167827937137655,0.000103,1e-05,5.79182660402812e-05,1.58679936716521e-05,0.000267,0.00035,4.3e-06,0.00021,0.00023,0.000253,0.00026,0.00041,7.11397411985074e-05,0.000982182028612814,0.000863377401693486,1e-05,0.000184624402081785,8.36e-05,3e-05,0.000899,4.64e-05,1.23949488668255e-05,7.85802826199013e-05,4.50844759630647e-06,7.14506029373017e-06,2.20491426988458e-05,0.00128,1e-05,0.00042,4e-07,0.00076,0.00193294071870423
"5",0.63475,0.00747,0.00747,0.00747,0.0452209699335985,0.001455,0.0232,0.0232,0.03655,0.0268,0.001655,0,2.12909758248428e-05,0.000381265574675371,0.00324,2.55060551618717e-05,5.72508330294044e-06,1.55774836948437e-05,3.22866094705004e-06,0.000485,0.00215575890999486,0.000125,0.00043,2.76328346403152e-05,0.000255,7.28382608480474e-05,4.88797391564063e-05,1.64664058473227e-05,0.00230453816874341,0.00018,7.3154124895404e-05,1.71712777405739e-05,5.79182660402812e-05,1.58679936716521e-05,0.00025,0.000330989032583413,6.91990015557219e-06,1.93539033081081e-05,3e-05,0.000283135315654847,0.000145,0.000245,7.11397411985074e-05,0.001015,0.000863377401693486,3.57993189263151e-06,0.000184624402081785,6.86533759683895e-05,2.42285836690759e-05,0.001005,1.18005502657625e-05,1.23949488668255e-05,7.85802826199013e-05,4.50844759630647e-06,7.14506029373017e-06,2.20491426988458e-05,0.000745,2.54194970720216e-05,0.000445,4.11860361492358e-05,0.000675,0.00189
"6",0.64103,0.00766,0.1496,0.05817,0.0456,0.00143,0.02326,0.04507,0.03628,0.02691,0.00157,5.5e-07,1.7e-05,0.000381265574675371,0.00349,3e-05,1e-06,1.55774836948437e-05,1.7e-06,0.0005553,0.00215575890999486,0.000143599921679829,0.00057,1.99e-05,0.00031,7.71e-05,4.86e-05,1.6e-05,0.0064,0.0001745,7.79e-05,2.15e-05,5.25e-05,1.64e-05,0.0002448,0.000330989032583413,7.2e-06,1.65e-05,0.000134,0.0002789,0.000156,0.000121,6.84e-05,0.001032,0.0018,3e-06,0.00019,6.59e-05,2.6e-05,0.000992,1e-05,1.4e-05,7.9e-05,4.50844759630647e-06,7.14506029373017e-06,2.16e-05,0.00079,2.54194970720216e-05,0.00048,4.69e-05,0.00069,0.00198
"7",0.6344,0.0076,0.148,0.0582,0.0452209699335985,0.00136,0.0228,0.0448,0.0356,0.0266,0.00177,0,2e-05,0.000381265574675371,0.00372,2.55060551618717e-05,5.72508330294044e-06,1.55774836948437e-05,3.22866094705004e-06,0.000529559330065622,0.0029,0.000143599921679829,0.00054,2.76328346403152e-05,0.00027,7.28382608480474e-05,4.88797391564063e-05,1.64664058473227e-05,0.00230453816874341,0.00017,7.3154124895404e-05,1.71712777405739e-05,5.79182660402812e-05,1.58679936716521e-05,0.000254159661938186,0.000330989032583413,6.91990015557219e-06,2e-05,0.00015,0.000283135315654847,0.00022,0.00012,7.11397411985074e-05,0.001003,0.00044,3.57993189263151e-06,0.000184624402081785,6.86533759683895e-05,2.42285836690759e-05,0.000998,1.18005502657625e-05,1.23949488668255e-05,8e-05,4.50844759630647e-06,7.14506029373017e-06,3e-05,0.00082,2.54194970720216e-05,0.00049,4.11860361492358e-05,0.00072,0.00199
"8",0.6166,0.00769943754081158,0.1571,0.0626,0.0452209699335985,0.0011,0.0209,0.0442,0.0381,0.0264,0.00175082414479092,9.4e-06,2.28e-05,0.000381265574675371,0.00353,1.68e-05,5e-07,1.55774836948437e-05,2.9e-06,0.00049,0.00215575890999486,0.000116,0.000448,1.7e-05,0.00025,6.33e-05,3.86e-05,1.51e-05,0.00230453816874341,9.41e-05,7.35e-05,3.09e-05,3.72e-05,1.27e-05,0.000239,0.000330989032583413,5.1e-06,1.03e-05,0.0001345,0.000249,0.0001839,0.0001407,6.76e-05,0.00107,0.000863377401693486,3.7e-06,0.000184624402081785,6.02e-05,2.47e-05,0.00102,6e-06,1.08e-05,2.9e-05,4.4e-06,5.8e-06,8.9e-06,0.00068,7.8e-06,0.00051,3.83e-05,0.00062,0.00216
"9",0.63578,0.00805,0.14906,0.06033,0.0452,0.00163,0.02292,0.04414,0.03589,0.02752,0.00171,0,2.12909758248428e-05,0.000381265574675371,0.00542,2.55060551618717e-05,5.72508330294044e-06,1.55774836948437e-05,3.22866094705004e-06,0.0004574,0.00215575890999486,0.00016,0.00061,2.76328346403152e-05,0.00023,6.75e-05,4.09e-05,1.46e-05,0.00230453816874341,0.000167827937137655,6.09e-05,1.71712777405739e-05,5.79182660402812e-05,1.4e-05,0.0002055,0.000330989032583413,5.7e-06,1.93539033081081e-05,0.00012,0.0002387,2e-04,0.00014,6.17e-05,9e-04,0.000863377401693486,3.57993189263151e-06,0.000184624402081785,5.71e-05,2.42285836690759e-05,0.00107,1.18005502657625e-05,1.01e-05,0.00013,4.50844759630647e-06,5.6e-06,2.20491426988458e-05,0.00086,2.54194970720216e-05,0.00043,4.19e-05,8e-04,0.00195
"10",0.6349,0.0076,0.1485,0.0575,0.0452209699335985,0.0013,0.0228,0.0449,0.0361,0.027,0.0019,1.5e-07,2.12909758248428e-05,0.000381265574675371,0.00355,1.79e-05,9.3e-07,1.55774836948437e-05,3.6e-07,0.000566,0.00215575890999486,0.000141,0.000605,2.12e-05,0.000258,8.11e-05,4.92e-05,1.69e-05,0.00230453816874341,0.000169,7.55e-05,1.71712777405739e-05,5.46e-05,1.74e-05,0.000266,0.000330989032583413,7.2e-06,8.8e-06,0.000126,0.000295,0.000202,0.00014,7.11e-05,0.000966,0.000863377401693486,2.2e-06,0.000201,7.23e-05,2.25e-05,0.001,1.11e-05,1.37e-05,8.43e-05,4.7e-06,7.14506029373017e-06,2.1e-05,0.000796,2.54194970720216e-05,0.000442,4.81e-05,0.000655,0.001953
