"","value"
"1","Ag"
"2","Al2O3"
"3","As"
"4","Ba"
"5","Be"
"6","CaO"
"7","Cd"
"8","Ce"
"9","Co"
"10","Cr"
"11","Cs"
"12","Cu"
"13","Dy"
"14","Er"
"15","Eu"
"16","Fe(II)O"
"17","Fe2O3T"
"18","Ga"
"19","Gd"
"20","Ge"
"21","Hf"
"22","Ho"
"23","K2O"
"24","La"
"25","Li"
"26","Lu"
"27","MgO"
"28","MnO"
"29","Mo"
"30","Na2O"
"31","Nb"
"32","Nd"
"33","Ni"
"34","P2O5"
"35","Pb"
"36","Pr"
"37","Rb"
"38","Sb"
"39","Sc"
"40","SiO2"
"41","Sm"
"42","Sn"
"43","Sr"
"44","Ta"
"45","Tb"
"46","Th"
"47","TiO2"
"48","Tl"
"49","Tm"
"50","U"
"51","V"
"52","W"
"53","Y"
"54","Yb"
"55","Zn"
"56","Zr"
