"","names(list.df)","plot.based.optimal","sim.based.optimal"
"1","GeoPT1.csv",-Inf,12
"2","GeoPT2.csv",-Inf,13
"3","GeoPT3.csv",-Inf,16
"4","GeoPT4.csv",-Inf,15
"5","GeoPT5.csv",-Inf,17
"6","GeoPT6.csv",-Inf,14
"7","GeoPT8.csv",-Inf,14
"8","GeoPT14.csv",-Inf,13
"9","GeoPT16.csv",-Inf,13
"10","GeoPT19.csv",-Inf,17
"11","GeoPT20.csv",-Inf,13
"12","GeoPT21.csv",-Inf,18
"13","GeoPT22.csv",-Inf,19
"14","GeoPT23.csv",-Inf,17
"15","GeoPT25.csv",-Inf,20
"16","GeoPT29.csv",-Inf,22
"17","GeoPT32.csv",-Inf,24
"18","GeoPT34.csv",-Inf,21
"19","GeoPT35.csv",-Inf,20
"20","GeoPT36.csv",-Inf,20
"21","GeoPT37.csv",-Inf,23
"22","GeoPT38.csv",-Inf,20
"23","GeoPT38A.csv",-Inf,14
"24","GeoPT39.csv",-Inf,20
"25","GeoPT39A.csv",-Inf,20
"26","GeoPT41.csv",-Inf,20
"27","GeoPT43.csv",-Inf,20
"28","GeoPT46.csv",-Inf,25
"29","GeoPT48.csv",-Inf,22
